bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,911823.0,207654.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,491661.0,492722.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497020.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,497994.0,504205.0,504205.0,504205.0,504205.0,504205.0,504205.0,504205.0,504205.0
bweforvideo-googBucketDelay,0.0,46.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
timestamp,1620353311,1620353312,1620353313,1620353314,1620353315,1620353316,1620353317,1620353318,1620353319,1620353320,1620353321,1620353322,1620353323,1620353324,1620353325,1620353326,1620353327,1620353328,1620353329,1620353330,1620353331,1620353332,1620353333,1620353334,1620353335,1620353336,1620353337,1620353338,1620353339,1620353340,1620353341,1620353342,1620353343,1620353344,1620353345,1620353346,1620353347,1620353348,1620353349,1620353350,1620353351,1620353352,1620353353,1620353354,1620353355,1620353356,1620353357,1620353358,1620353359,1620353360,1620353361,1620353362,1620353363,1620353364,1620353365,1620353366,1620353367,1620353368,1620353369,1620353370,1620353371,1620353372,1620353373,1620353374,1620353375,1620353376,1620353377,1620353378,1620353379,1620353380,1620353381,1620353382,1620353383,1620353384,1620353385,1620353386,1620353387,1620353388,1620353389,1620353390,1620353391,1620353392,1620353393,1620353394,1620353395,1620353396,1620353397,1620353398,1620353399,1620353400,1620353401,1620353402,1620353403,1620353404,1620353405,1620353406,1620353407,1620353408,1620353409,1620353410,1620353411,1620353412,1620353413,1620353414,1620353415,1620353416,1620353417,1620353418,1620353419,1620353420,1620353421
audio_bitsReceivedPerSecond,303816.0,522920.0,547600.0,459280.0,497072.0,496768.0,487376.0,508424.0,504616.0,515720.0,510080.0,529888.0,486928.0,488440.0,502408.0,481792.0,368216.0,452416.0,334656.0,348776.0,334536.0,344640.0,345504.0,340464.0,378904.0,355096.0,352848.0,375048.0,373952.0,361112.0,369080.0,388376.0,397600.0,375232.0,382832.0,369984.0,341192.0,346032.0,350592.0,342664.0,356752.0,375960.0,382120.0,386848.0,406808.0,377864.0,377000.0,393040.0,391568.0,410136.0,412768.0,408136.0,404968.0,411648.0,436824.0,413536.0,427000.0,425656.0,440128.0,438232.0,441752.0,442760.0,454696.0,478232.0,481224.0,401104.0,374624.0,386168.0,379096.0,390184.0,397072.0,432720.0,435184.0,438272.0,468200.0,457064.0,464424.0,491136.0,487208.0,478176.0,465008.0,488176.0,484472.0,486064.0,494984.0,468488.0,465408.0,474600.0,486064.0,484848.0,469272.0,480232.0,501112.0,460440.0,379456.0,366128.0,346816.0,361824.0,382728.0,395016.0,400912.0,432344.0,414416.0,425544.0,417416.0,425656.0,428976.0,436160.0,462440.0,474128.0,491408.0
audio_bitsSentPerSecond,288400.0,299784.0,230720.0,254224.0,279024.0,253896.0,246000.0,259960.0,254312.0,264840.0,251920.0,267520.0,250176.0,247096.0,271408.0,248776.0,240152.0,263760.0,258992.0,266720.0,245672.0,272208.0,256008.0,251632.0,274600.0,259552.0,250576.0,268120.0,268680.0,271504.0,252480.0,268096.0,253032.0,247496.0,273720.0,252160.0,246704.0,257968.0,256640.0,273192.0,245520.0,269608.0,259768.0,245800.0,275840.0,258920.0,248000.0,263840.0,260800.0,277768.0,248128.0,295336.0,242248.0,244392.0,272040.0,251648.0,245568.0,258960.0,260464.0,275112.0,242368.0,272152.0,260944.0,246976.0,281840.0,250752.0,249424.0,269744.0,264448.0,285464.0,241968.0,279424.0,266264.0,254496.0,284952.0,252552.0,245520.0,263832.0,261640.0,287128.0,245312.0,279856.0,258608.0,265376.0,297328.0,252928.0,253768.0,264232.0,260800.0,282288.0,240432.0,284272.0,262272.0,249432.0,284728.0,258776.0,255584.0,264216.0,269008.0,279576.0,242056.0,311232.0,247840.0,249976.0,276744.0,258528.0,263952.0,259976.0,264320.0,281744.0,243912.0
audio_packetsSentPerSecond,137.0,149.0,133.0,141.0,133.0,139.0,135.0,140.0,135.0,138.0,137.0,138.0,133.0,137.0,138.0,136.0,137.0,137.0,137.0,140.0,133.0,138.0,139.0,140.0,133.0,136.0,137.0,137.0,137.0,136.0,136.0,139.0,135.0,137.0,137.0,137.0,139.0,137.0,135.0,136.0,136.0,138.0,137.0,136.0,137.0,136.0,135.0,139.0,136.0,139.0,136.0,140.0,137.0,135.0,138.0,137.0,137.0,135.0,136.0,140.0,136.0,137.0,136.0,137.0,134.0,137.0,136.0,137.0,139.0,134.0,135.0,139.0,140.0,136.0,136.0,137.0,137.0,135.0,137.0,137.0,137.0,137.0,136.0,141.0,134.0,133.0,138.0,138.0,135.0,138.0,135.0,141.0,136.0,138.0,138.0,136.0,137.0,134.0,138.0,138.0,137.0,138.0,141.0,137.0,139.0,134.0,137.0,137.0,139.0,135.0,136.0
audio_googLocalAddress,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915,35.238.104.72:50915
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,64.0,64.0,64.0,55.0,55.0,48.0,48.0,48.0,42.0,42.0,38.0,38.0,38.0,37.0,37.0,35.0,35.0,35.0,33.0,33.0,31.0,31.0,31.0,30.0,30.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
