bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,530093.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0,543547.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
timestamp,1620381412,1620381413,1620381414,1620381415,1620381416,1620381417,1620381418,1620381419,1620381420,1620381421,1620381422,1620381423,1620381424,1620381425,1620381426,1620381427,1620381428,1620381429,1620381430,1620381431,1620381432,1620381433,1620381434,1620381435,1620381436,1620381437,1620381438,1620381439,1620381440,1620381441,1620381442,1620381443,1620381444,1620381445,1620381446,1620381447,1620381448,1620381449,1620381450,1620381451,1620381452,1620381453,1620381454,1620381455,1620381456,1620381457,1620381458,1620381459,1620381460,1620381461,1620381462,1620381463,1620381464,1620381465,1620381466,1620381467,1620381468,1620381469,1620381470,1620381471,1620381472,1620381473,1620381474,1620381475,1620381476,1620381477,1620381478,1620381479,1620381480,1620381481,1620381482,1620381483,1620381484,1620381485,1620381486,1620381487,1620381488,1620381489,1620381490,1620381491,1620381492,1620381493,1620381494,1620381495,1620381496,1620381497,1620381498,1620381499,1620381500,1620381501,1620381502,1620381503,1620381504,1620381505,1620381506,1620381507,1620381508,1620381509,1620381510,1620381511,1620381512,1620381513,1620381514,1620381515,1620381516,1620381517,1620381518,1620381519,1620381520,1620381521,1620381522,1620381523,1620381524,1620381525,1620381526,1620381527,1620381528
audio_bitsReceivedPerSecond,521256.0,540464.0,602072.0,517976.0,541912.0,562632.0,537976.0,446960.0,402344.0,396640.0,400280.0,419664.0,417448.0,413488.0,378320.0,334248.0,342184.0,351320.0,352784.0,360984.0,382352.0,419112.0,400848.0,413136.0,397240.0,432576.0,412496.0,375520.0,360800.0,364952.0,354368.0,390800.0,401408.0,396880.0,412976.0,414712.0,364592.0,451000.0,445712.0,403912.0,393288.0,385504.0,383288.0,405328.0,362632.0,399032.0,367600.0,378600.0,375456.0,364120.0,342840.0,361512.0,357720.0,384120.0,376568.0,415424.0,402528.0,408184.0,352168.0,345784.0,341088.0,349584.0,337816.0,350256.0,324040.0,337920.0,326128.0,340104.0,333664.0,338688.0,314920.0,336056.0,349976.0,354672.0,343336.0,367056.0,357320.0,346496.0,338216.0,321408.0,309520.0,330176.0,326016.0,349280.0,330880.0,356928.0,369304.0,389752.0,402800.0,402232.0,405648.0,429680.0,447648.0,465496.0,447984.0,476816.0,460800.0,466552.0,488320.0,476544.0,473672.0,505232.0,494456.0,533336.0,489240.0,474600.0,400688.0,392496.0,402184.0,399624.0,393600.0,427248.0,420824.0,416112.0,397128.0,396072.0,387408.0
audio_bitsSentPerSecond,321216.0,295928.0,256600.0,263208.0,271408.0,263680.0,252736.0,266416.0,264384.0,267960.0,255192.0,265168.0,254800.0,251968.0,267728.0,252168.0,247024.0,258984.0,256960.0,271872.0,246400.0,268304.0,247712.0,249752.0,273056.0,251168.0,247712.0,254616.0,251760.0,274080.0,243520.0,269056.0,256904.0,246440.0,267056.0,250800.0,249304.0,260696.0,256880.0,276360.0,247584.0,263456.0,265408.0,254856.0,271776.0,265928.0,252432.0,264624.0,266744.0,280912.0,244552.0,304216.0,237800.0,250032.0,269752.0,255280.0,258712.0,258360.0,258032.0,272400.0,247960.0,272000.0,258568.0,252664.0,277856.0,253760.0,266792.0,281592.0,260416.0,276624.0,243368.0,274792.0,259624.0,247656.0,274944.0,250712.0,248904.0,260720.0,257120.0,281784.0,242616.0,273040.0,254352.0,256216.0,275968.0,257488.0,252568.0,266472.0,264800.0,279192.0,250784.0,273936.0,261312.0,258096.0,275848.0,260968.0,261256.0,262400.0,264792.0,281976.0,248536.0,300584.0,244968.0,257304.0,265816.0,260536.0,266240.0,263336.0,266040.0,277904.0,250392.0,282584.0,260000.0,254048.0,277336.0,264416.0,260512.0
audio_packetsSentPerSecond,142.0,140.0,136.0,139.0,136.0,138.0,132.0,137.0,135.0,137.0,136.0,140.0,136.0,137.0,139.0,135.0,138.0,134.0,137.0,137.0,134.0,141.0,134.0,137.0,138.0,135.0,139.0,137.0,136.0,139.0,134.0,137.0,136.0,136.0,136.0,136.0,138.0,136.0,135.0,136.0,136.0,136.0,140.0,137.0,131.0,142.0,134.0,138.0,138.0,137.0,134.0,145.0,136.0,135.0,136.0,139.0,134.0,138.0,140.0,135.0,136.0,138.0,138.0,136.0,138.0,136.0,134.0,138.0,136.0,139.0,135.0,137.0,139.0,137.0,137.0,134.0,136.0,136.0,136.0,136.0,135.0,138.0,133.0,139.0,136.0,137.0,137.0,138.0,137.0,135.0,138.0,138.0,136.0,142.0,133.0,136.0,136.0,140.0,137.0,139.0,137.0,138.0,136.0,136.0,136.0,137.0,137.0,137.0,140.0,137.0,136.0,140.0,138.0,135.0,137.0,137.0,136.0
audio_googLocalAddress,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870,34.67.229.81:37870
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0
