bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,200893.0,186306.0,202210.0,169176.0,183710.0,172332.0,186572.0,163271.0,177333.0,149371.0,162321.0,154776.0,168158.0,143069.0,155515.0,137867.0,149896.0,152417.0,165610.0,158335.0,172002.0,149892.0,162883.0,176914.0,192067.0,158885.0,172596.0,187404.0,202777.0,219999.0,237643.0,177623.0,192833.0,161356.0,175264.0,153648.0,166940.0,153379.0,165953.0,114453.0,124609.0,135578.0,147424.0,160218.0,172828.0,187654.0,203666.0,167743.0,182162.0,196904.0,213656.0,151714.0,164851.0,160513.0,173574.0,133278.0,144940.0,125100.0,136108.0,147997.0,160837.0,173075.0,187921.0,135627.0,147477.0,141057.0,153342.0,140081.0,151872.0,131298.0,142802.0,155226.0,167511.0,156257.0,169758.0,184339.0,200086.0,172655.0,187467.0,203464.0,219735.0,154567.0,167932.0,167018.0,181379.0,158078.0,171724.0,131509.0,143030.0,155472.0
bweforvideo-googBucketDelay,72.0,205.0,289.0,222.0,322.0,305.0,239.0,239.0,338.0,322.0,422.0,439.0,440.0,507.0,622.0,507.0,506.0,423.0,339.0,140.0,56.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,40.0,7.0,121.0,0.0,0.0,0.0,0.0,0.0,106.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,140.0,308.0,74.0,9.0,158.0,140.0,138.0,158.0,0.0,0.0,0.0,0.0,175.0,108.0,159.0,159.0,125.0,157.0,58.0,41.0,0.0,0.0,92.0,1.0,0.0,2.0,1.0,42.0,4.0,10.0,142.0,161.0,191.0,93.0,0.0,0.0,42.0,159.0,0.0
timestamp,1620347512,1620347513,1620347514,1620347515,1620347516,1620347517,1620347518,1620347519,1620347520,1620347521,1620347522,1620347523,1620347524,1620347525,1620347526,1620347527,1620347528,1620347529,1620347530,1620347531,1620347532,1620347533,1620347534,1620347535,1620347536,1620347537,1620347538,1620347539,1620347540,1620347541,1620347542,1620347543,1620347544,1620347545,1620347546,1620347547,1620347548,1620347549,1620347550,1620347551,1620347552,1620347553,1620347554,1620347555,1620347556,1620347557,1620347558,1620347559,1620347560,1620347561,1620347562,1620347563,1620347564,1620347565,1620347566,1620347567,1620347568,1620347569,1620347570,1620347571,1620347572,1620347573,1620347574,1620347575,1620347576,1620347577,1620347578,1620347579,1620347580,1620347581,1620347582,1620347583,1620347584,1620347585,1620347586,1620347587,1620347588,1620347589,1620347590,1620347591,1620347592,1620347593,1620347594,1620347595,1620347596,1620347597,1620347598,1620347599,1620347600,1620347601
audio_bitsReceivedPerSecond,297928.0,312216.0,510136.0,455808.0,473256.0,471520.0,479640.0,488560.0,494672.0,446680.0,368528.0,435688.0,343872.0,378016.0,411104.0,380512.0,391632.0,402216.0,387224.0,374736.0,396240.0,411032.0,460136.0,402376.0,425408.0,432976.0,424480.0,459616.0,426888.0,443000.0,453664.0,461048.0,430320.0,432544.0,507728.0,501520.0,491424.0,519648.0,472384.0,495232.0,505656.0,484784.0,537704.0,490112.0,515832.0,540248.0,517968.0,552328.0,511120.0,506120.0,533792.0,563024.0,595176.0,559120.0,424976.0,462544.0,417840.0,450368.0,437312.0,444728.0,474656.0,472800.0,503216.0,464440.0,487520.0,522808.0,485664.0,510048.0,516512.0,512296.0,509416.0,509824.0,526456.0,504952.0,507768.0,519240.0,497632.0,523848.0,483296.0,458024.0,436392.0,378992.0,390232.0,353304.0,378912.0,346456.0,330808.0,347120.0,336472.0,327104.0
audio_bitsSentPerSecond,272816.0,199032.0,203936.0,204144.0,191584.0,192848.0,191792.0,197976.0,181992.0,180952.0,164808.0,173872.0,172560.0,172384.0,157280.0,161896.0,148880.0,161752.0,169128.0,173448.0,174264.0,170400.0,152976.0,163304.0,167784.0,170536.0,174224.0,174568.0,195672.0,194840.0,245936.0,223808.0,197696.0,197992.0,180280.0,160448.0,160168.0,159344.0,163888.0,141344.0,125280.0,128728.0,127168.0,145664.0,154056.0,162048.0,184648.0,176048.0,188912.0,184624.0,193200.0,192584.0,168976.0,176272.0,179056.0,163528.0,146032.0,147296.0,137152.0,144056.0,146400.0,160624.0,169088.0,178312.0,149792.0,159392.0,156072.0,159392.0,155832.0,156608.0,145136.0,150904.0,167264.0,173000.0,166744.0,166888.0,182152.0,185336.0,192848.0,190992.0,202888.0,202200.0,170520.0,180432.0,184176.0,179864.0,164584.0,163864.0,148088.0,153824.0
audio_packetsSentPerSecond,136.0,127.0,130.0,138.0,129.0,134.0,136.0,137.0,126.0,135.0,124.0,133.0,130.0,130.0,123.0,137.0,129.0,135.0,137.0,143.0,137.0,134.0,135.0,133.0,132.0,134.0,134.0,132.0,132.0,140.0,134.0,135.0,138.0,127.0,141.0,135.0,132.0,134.0,129.0,125.0,130.0,132.0,133.0,130.0,136.0,134.0,136.0,136.0,132.0,137.0,137.0,125.0,123.0,147.0,137.0,122.0,132.0,129.0,128.0,140.0,130.0,134.0,134.0,123.0,133.0,133.0,128.0,135.0,129.0,139.0,130.0,132.0,134.0,126.0,136.0,136.0,134.0,134.0,131.0,138.0,136.0,127.0,126.0,132.0,139.0,139.0,132.0,129.0,121.0,138.0
audio_googLocalAddress,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661,35.238.104.72:51661
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,181.0,181.0,144.0,144.0,144.0,115.0,115.0,94.0,94.0,94.0,78.0,78.0,65.0,65.0,65.0,57.0,57.0,50.0,50.0,50.0,45.0,45.0,43.0,43.0,43.0,41.0,41.0,39.0,39.0,39.0,37.0,37.0,36.0,36.0,36.0,34.0,34.0,32.0,32.0,32.0,31.0,31.0,30.0,30.0,30.0,40.0,40.0,37.0,37.0,37.0,36.0,36.0,34.0,34.0,34.0,44.0,44.0,44.0,42.0,42.0,39.0,39.0,39.0,36.0,36.0,44.0,44.0,44.0,40.0,40.0,38.0,38.0,38.0,35.0,35.0,42.0,42.0,42.0,39.0,39.0,37.0,37.0,37.0,35.0,35.0,42.0,42.0,42.0,38.0,38.0
