bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,0.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,2230231.0,192792.0,187043.0,199044.0,208135.0,211809.0,211809.0,219657.0,223936.0,230611.0,239762.0,259943.0,281738.0,303811.0,321131.0,347118.0,369929.0,377715.0,381840.0,196685.0,169560.0,184125.0,199855.0,216843.0,235190.0,245468.0,248280.0,259821.0,267211.0,289588.0,299357.0,317223.0,198037.0,214880.0,233070.0,252716.0,268711.0,276657.0,299790.0,321014.0,332633.0,340822.0,350188.0,357959.0,362725.0,371683.0,374683.0,374683.0,379538.0,379538.0,384033.0,387462.0,396570.0,405959.0,405959.0,405959.0,405959.0,225950.0,346000.0,183615.0,197058.0,213823.0,228550.0,239402.0,249927.0,256461.0,257461.0,276392.0,296372.0,307523.0,150812.0,160486.0,174325.0,187726.0,203744.0,215168.0,226232.0,0.0,149216.0,162153.0,176125.0,191215.0,207512.0,215051.0
bweforvideo-googBucketDelay,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,207.0,0.0,503.0,970.0,1226.0,1496.0,1736.0,1921.0,1775.0,1940.0,1945.0,1917.0,1933.0,1907.0,1907.0,1954.0,1940.0,1892.0,1967.0,1959.0,1952.0,2164.0,1985.0,1920.0,1909.0,1887.0,1918.0,1783.0,1934.0,1952.0,1936.0,1937.0,1990.0,1995.0,1920.0,1887.0,1755.0,1916.0,1925.0,1940.0,1940.0,1891.0,1943.0,1986.0,1936.0,1955.0,1927.0,1920.0,1955.0,1921.0,1888.0,1890.0,1719.0,1689.0,1688.0,1642.0,1656.0,1749.0,1740.0,1942.0,2207.0,1971.0,1924.0,1937.0,1901.0,1939.0,1959.0,1941.0,1953.0,1928.0,2020.0,2155.0,2134.0,1927.0,1945.0,1909.0,1921.0,1980.0,2213.0,2206.0,1951.0,1911.0,1919.0
timestamp,1620376343,1620376344,1620376345,1620376346,1620376347,1620376348,1620376349,1620376350,1620376351,1620376352,1620376353,1620376354,1620376355,1620376356,1620376357,1620376358,1620376359,1620376360,1620376361,1620376362,1620376363,1620376364,1620376365,1620376366,1620376367,1620376368,1620376369,1620376370,1620376371,1620376372,1620376373,1620376374,1620376375,1620376376,1620376377,1620376378,1620376379,1620376380,1620376381,1620376382,1620376383,1620376384,1620376385,1620376386,1620376387,1620376388,1620376389,1620376390,1620376391,1620376392,1620376393,1620376394,1620376395,1620376396,1620376397,1620376398,1620376399,1620376400,1620376401,1620376402,1620376403,1620376404,1620376405,1620376406,1620376407,1620376408,1620376409,1620376410,1620376411,1620376412,1620376413,1620376414,1620376415,1620376416,1620376417,1620376418,1620376419,1620376420,1620376421,1620376422,1620376423,1620376424,1620376425,1620376426,1620376427,1620376428,1620376429,1620376430,1620376431,1620376432,1620376433,1620376434,1620376435,1620376436,1620376437,1620376438,1620376439,1620376440
audio_bitsReceivedPerSecond,0.0,343016.0,476688.0,343328.0,595792.0,606624.0,486816.0,468288.0,487064.0,492272.0,487512.0,516440.0,481280.0,440288.0,510752.0,463672.0,450936.0,490392.0,468680.0,475040.0,498816.0,506560.0,511936.0,443936.0,502792.0,475920.0,398832.0,541904.0,478232.0,465144.0,480376.0,480600.0,488504.0,451704.0,456216.0,499032.0,459112.0,482136.0,470112.0,397720.0,515312.0,518400.0,480176.0,448928.0,496264.0,416152.0,516736.0,483320.0,416720.0,525536.0,470328.0,504928.0,528672.0,426912.0,479712.0,468232.0,496256.0,530584.0,515136.0,495016.0,499024.0,532016.0,497760.0,454864.0,495304.0,478520.0,465608.0,480544.0,483952.0,478656.0,490312.0,491288.0,487120.0,446808.0,527024.0,469216.0,471120.0,489472.0,444072.0,458088.0,399920.0,532064.0,475128.0,461336.0,502032.0,471008.0,470704.0,461920.0,495384.0,461904.0,477488.0,497472.0,485624.0,461040.0,464880.0,477504.0,461336.0,467296.0
audio_bitsSentPerSecond,0.0,213640.0,245912.0,302112.0,270504.0,276408.0,297376.0,247760.0,258528.0,249280.0,241776.0,283176.0,276152.0,229488.0,267160.0,202976.0,233816.0,138096.0,138680.0,154968.0,133728.0,139632.0,178664.0,193704.0,204912.0,209480.0,220488.0,236432.0,235224.0,241144.0,245160.0,245640.0,257216.0,247960.0,225752.0,221400.0,190288.0,181984.0,170536.0,189808.0,195944.0,220144.0,235448.0,234368.0,228592.0,250544.0,241400.0,225864.0,209224.0,201816.0,230472.0,237360.0,256384.0,245272.0,246280.0,240768.0,253448.0,255904.0,260776.0,256648.0,253464.0,253696.0,252440.0,260208.0,260360.0,256752.0,269080.0,267008.0,274872.0,276032.0,266960.0,244944.0,195696.0,229520.0,215136.0,209600.0,196040.0,180712.0,202280.0,212752.0,227672.0,232608.0,232360.0,247752.0,237792.0,202240.0,171456.0,160208.0,156544.0,163208.0,180424.0,190120.0,188000.0,159344.0,156312.0,144760.0,151616.0,167984.0
audio_packetsSentPerSecond,0.0,75.0,78.0,86.0,85.0,84.0,85.0,82.0,82.0,84.0,85.0,84.0,86.0,79.0,83.0,77.0,85.0,61.0,63.0,76.0,64.0,66.0,76.0,77.0,78.0,76.0,81.0,83.0,83.0,81.0,77.0,83.0,87.0,82.0,79.0,79.0,74.0,81.0,79.0,83.0,77.0,78.0,83.0,79.0,80.0,84.0,83.0,79.0,80.0,75.0,83.0,81.0,85.0,85.0,82.0,85.0,79.0,81.0,82.0,87.0,84.0,85.0,86.0,80.0,87.0,85.0,83.0,89.0,83.0,87.0,84.0,82.0,75.0,81.0,76.0,75.0,84.0,80.0,79.0,78.0,80.0,82.0,80.0,82.0,77.0,68.0,63.0,73.0,82.0,78.0,80.0,74.0,71.0,63.0,68.0,85.0,80.0,72.0
audio_googLocalAddress,43752b45-2bf2-436b-91d8-d4a8cfb2028d.local:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726,34.70.165.150:56726
audio_googRemoteAddress,10.50.65.148:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,3000.0,192.0,195.0,164.0,164.0,171.0,171.0,171.0,139.0,139.0,114.0,114.0,114.0,96.0,96.0,81.0,81.0,81.0,68.0,68.0,62.0,62.0,62.0,55.0,55.0,81.0,81.0,81.0,100.0,100.0,114.0,114.0,114.0,124.0,124.0,131.0,131.0,131.0,139.0,139.0,140.0,140.0,140.0,139.0,139.0,139.0,144.0,144.0,146.0,146.0,146.0,122.0,122.0,107.0,107.0,107.0,92.0,92.0,85.0,85.0,85.0,77.0,77.0,74.0,74.0,74.0,70.0,70.0,69.0,69.0,69.0,67.0,67.0,64.0,64.0,64.0,60.0,60.0,57.0,57.0,57.0,54.0,54.0,51.0,51.0,51.0,50.0,50.0,47.0,47.0,47.0,43.0,43.0,41.0,41.0,41.0,40.0,40.0
