bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0,548046.0
bweforvideo-googBucketDelay,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1620390372,1620390373,1620390374,1620390375,1620390376,1620390377,1620390378,1620390379,1620390380,1620390381,1620390382,1620390383,1620390384,1620390385,1620390386,1620390387,1620390388,1620390389,1620390390,1620390391,1620390392,1620390393,1620390394,1620390395,1620390396,1620390397,1620390398,1620390399,1620390400,1620390401,1620390402,1620390403,1620390404,1620390405,1620390406,1620390407,1620390408,1620390409,1620390410,1620390411,1620390412,1620390413,1620390414,1620390415,1620390416,1620390417,1620390418,1620390419,1620390420,1620390421,1620390422,1620390423,1620390424,1620390425,1620390426,1620390427,1620390428,1620390429,1620390430,1620390431,1620390432,1620390433,1620390434,1620390435,1620390436,1620390437,1620390438,1620390439,1620390440,1620390441,1620390442,1620390443,1620390444,1620390445,1620390446,1620390447,1620390448,1620390449,1620390450,1620390451,1620390452,1620390453,1620390454,1620390455,1620390456,1620390457,1620390458,1620390459,1620390460,1620390461,1620390462,1620390463,1620390464,1620390465,1620390466,1620390467,1620390468,1620390469,1620390470,1620390471,1620390472,1620390473,1620390474,1620390475,1620390476,1620390477,1620390478,1620390479,1620390480,1620390481,1620390482,1620390483,1620390484,1620390485,1620390486,1620390487,1620390488,1620390489,1620390490,1620390491
audio_bitsReceivedPerSecond,451160.0,519080.0,554032.0,511856.0,514448.0,476056.0,478320.0,502432.0,406880.0,383888.0,431408.0,412440.0,434496.0,428976.0,481640.0,470248.0,478672.0,496184.0,464760.0,463520.0,500152.0,496664.0,504224.0,505208.0,535856.0,520648.0,479520.0,521656.0,505352.0,503896.0,488184.0,493392.0,515016.0,487144.0,519864.0,500144.0,481616.0,519728.0,494696.0,503656.0,467968.0,402672.0,439264.0,447760.0,504584.0,480280.0,466392.0,485800.0,481360.0,483600.0,526936.0,454032.0,493048.0,462280.0,492048.0,490112.0,483336.0,484016.0,473088.0,467816.0,484992.0,491488.0,516536.0,477360.0,499216.0,491160.0,466512.0,486944.0,449136.0,461696.0,492632.0,485376.0,497320.0,460976.0,492440.0,477760.0,477200.0,511120.0,498624.0,448104.0,458832.0,459904.0,495624.0,468408.0,504584.0,482792.0,476880.0,500896.0,475720.0,481216.0,479080.0,483336.0,498728.0,470696.0,513488.0,489472.0,485640.0,512336.0,467976.0,455792.0,487280.0,425912.0,471720.0,453808.0,495632.0,487064.0,471560.0,499400.0,477208.0,465928.0,486112.0,509616.0,543288.0,483136.0,501880.0,488104.0,480824.0,510256.0,494600.0,486992.0
audio_bitsSentPerSecond,289120.0,280744.0,290352.0,285152.0,284840.0,289416.0,262400.0,262776.0,267768.0,265400.0,261944.0,258560.0,267216.0,267912.0,263704.0,265408.0,262336.0,250840.0,263616.0,266032.0,251248.0,249904.0,263536.0,262144.0,271544.0,272400.0,252688.0,250896.0,257264.0,259160.0,257848.0,245488.0,264800.0,261384.0,266976.0,278648.0,260928.0,256184.0,261648.0,266840.0,261712.0,258864.0,262728.0,263472.0,265240.0,270952.0,249432.0,253328.0,255912.0,267792.0,277120.0,243848.0,257800.0,258808.0,263648.0,270304.0,252656.0,251256.0,254176.0,262776.0,252256.0,253344.0,266584.0,257496.0,272424.0,259392.0,268672.0,251304.0,255200.0,264080.0,251384.0,251816.0,258312.0,273640.0,293160.0,259376.0,276880.0,256256.0,251648.0,273720.0,253232.0,254328.0,264488.0,258424.0,271480.0,255504.0,266832.0,258688.0,257512.0,268376.0,253816.0,247984.0,268704.0,259480.0,271800.0,257792.0,274640.0,257912.0,257192.0,272056.0,275760.0,245120.0,258400.0,265296.0,273064.0,259576.0,275720.0,260360.0,257528.0,275272.0,261992.0,257360.0,265600.0,265280.0,277160.0,253880.0,266968.0,257048.0,252776.0,268552.0
audio_packetsSentPerSecond,139.0,139.0,137.0,137.0,137.0,137.0,135.0,135.0,141.0,137.0,136.0,138.0,138.0,135.0,140.0,140.0,137.0,136.0,137.0,135.0,139.0,137.0,137.0,137.0,137.0,138.0,135.0,135.0,135.0,135.0,141.0,134.0,136.0,140.0,134.0,143.0,134.0,138.0,138.0,134.0,139.0,139.0,138.0,136.0,137.0,138.0,139.0,136.0,138.0,136.0,138.0,138.0,135.0,138.0,136.0,138.0,137.0,135.0,138.0,137.0,135.0,136.0,136.0,136.0,136.0,134.0,138.0,137.0,137.0,137.0,136.0,138.0,135.0,136.0,139.0,137.0,137.0,135.0,138.0,137.0,137.0,134.0,135.0,139.0,138.0,134.0,139.0,137.0,139.0,135.0,140.0,136.0,138.0,135.0,135.0,135.0,138.0,137.0,136.0,136.0,142.0,138.0,134.0,140.0,137.0,136.0,141.0,137.0,136.0,136.0,137.0,136.0,136.0,138.0,136.0,137.0,139.0,136.0,137.0,135.0
audio_googLocalAddress,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485,35.238.104.72:52485
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
