bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,517498.0,517498.0,517498.0,517498.0,517498.0,517498.0,112137.0,121172.0,128942.0,128942.0,128942.0,128942.0,132648.0,133400.0,135016.0,135016.0,135016.0,137793.0,144264.0,146825.0,149262.0,157314.0,160948.0,170195.0,173531.0,182199.0,186547.0,193296.0,203060.0,214262.0,229554.0,248918.0,269828.0,292414.0,299617.0,313415.0,317405.0,317405.0,327488.0,340938.0,348826.0,357446.0,361429.0,369778.0,376928.0,386833.0,392246.0,400473.0,403953.0,403953.0,404953.0,413583.0,418870.0,430347.0,445287.0,454528.0,454528.0,454528.0,220725.0,239383.0,255302.0,262417.0,271146.0,293097.0,303129.0,310957.0,318795.0,338235.0,338709.0,338709.0,347620.0,351710.0,351710.0,357493.0,366345.0,371998.0,371998.0,371998.0,378201.0,389656.0,417298.0,445495.0,469861.0,484625.0,484625.0,485625.0,485625.0,485625.0,485625.0,148640.0,161531.0,167635.0,170858.0,176305.0,184343.0,187551.0,189493.0,193861.0,198915.0,212772.0,221756.0,230015.0,233630.0,246679.0,261263.0,277170.0,288370.0,292123.0,317113.0,335439.0,355680.0,364943.0,376430.0,382684.0,382684.0,387529.0,394208.0,399274.0,405848.0,411908.0,427948.0,441558.0,441558.0,441558.0
bweforvideo-googBucketDelay,2.0,1.0,0.0,1.0,0.0,0.0,200.0,243.0,502.0,885.0,1183.0,1262.0,1416.0,1656.0,1765.0,1950.0,1965.0,1941.0,1952.0,1968.0,1937.0,1971.0,1938.0,1724.0,1923.0,1900.0,1734.0,1940.0,1789.0,1888.0,1918.0,1740.0,1904.0,1753.0,1738.0,1767.0,1887.0,1909.0,1898.0,1746.0,1893.0,1737.0,1708.0,1704.0,1689.0,1475.0,1497.0,1403.0,1190.0,962.0,939.0,893.0,703.0,386.0,146.0,4.0,4.0,0.0,2.0,419.0,642.0,732.0,1175.0,1411.0,1633.0,1735.0,1738.0,1701.0,1888.0,1901.0,1919.0,1899.0,1898.0,1886.0,1773.0,1759.0,1721.0,1713.0,1638.0,1684.0,1464.0,1233.0,934.0,657.0,400.0,2.0,2.0,1.0,2.0,279.0,656.0,753.0,974.0,1413.0,1456.0,1643.0,1903.0,1954.0,1950.0,1913.0,1887.0,1916.0,1912.0,1906.0,1907.0,1889.0,1887.0,1900.0,1923.0,1910.0,1951.0,1935.0,1751.0,1920.0,1721.0,1702.0,1490.0,1456.0,1397.0,1182.0,944.0,705.0,446.0,199.0
timestamp,1620393761,1620393762,1620393763,1620393764,1620393765,1620393766,1620393767,1620393768,1620393769,1620393770,1620393771,1620393772,1620393773,1620393774,1620393775,1620393776,1620393777,1620393778,1620393779,1620393780,1620393781,1620393782,1620393783,1620393784,1620393785,1620393786,1620393787,1620393788,1620393789,1620393790,1620393791,1620393792,1620393793,1620393794,1620393795,1620393796,1620393797,1620393798,1620393799,1620393800,1620393801,1620393802,1620393803,1620393804,1620393805,1620393806,1620393807,1620393808,1620393809,1620393810,1620393811,1620393812,1620393813,1620393814,1620393815,1620393816,1620393817,1620393818,1620393819,1620393820,1620393821,1620393822,1620393823,1620393824,1620393825,1620393826,1620393827,1620393828,1620393829,1620393830,1620393831,1620393832,1620393833,1620393834,1620393835,1620393836,1620393837,1620393838,1620393839,1620393840,1620393841,1620393842,1620393843,1620393844,1620393845,1620393846,1620393847,1620393848,1620393849,1620393850,1620393851,1620393852,1620393853,1620393854,1620393855,1620393856,1620393857,1620393858,1620393859,1620393860,1620393861,1620393862,1620393863,1620393864,1620393865,1620393866,1620393867,1620393868,1620393869,1620393870,1620393871,1620393872,1620393873,1620393874,1620393875,1620393876,1620393877,1620393878,1620393879,1620393880,1620393881,1620393882,1620393883,1620393884
audio_bitsReceivedPerSecond,0.0,490304.0,593728.0,487776.0,483848.0,492144.0,467616.0,475968.0,473200.0,443000.0,467344.0,463264.0,453896.0,459744.0,468472.0,490232.0,399352.0,529832.0,418256.0,501696.0,477304.0,403760.0,506328.0,454912.0,470488.0,478416.0,469976.0,472552.0,481160.0,456088.0,473160.0,476776.0,459800.0,461432.0,481304.0,484808.0,468304.0,484832.0,481432.0,457248.0,478648.0,479376.0,456720.0,462176.0,412064.0,549456.0,460600.0,481488.0,488504.0,459536.0,547344.0,380432.0,506728.0,463104.0,465128.0,487264.0,480680.0,477360.0,482648.0,473376.0,484912.0,494552.0,472544.0,461792.0,487328.0,485232.0,475336.0,412680.0,543456.0,457632.0,475032.0,494416.0,461896.0,459168.0,477640.0,487160.0,478704.0,474432.0,480272.0,465584.0,469480.0,494544.0,459144.0,458096.0,515072.0,513496.0,497008.0,463904.0,490080.0,404816.0,510744.0,498704.0,453968.0,455864.0,474872.0,477760.0,487976.0,467008.0,484416.0,461440.0,540704.0,449784.0,404752.0,507400.0,481040.0,489576.0,513504.0,485120.0,497032.0,487224.0,484392.0,491800.0,535160.0,481784.0,491520.0,498792.0,530832.0,472568.0,505112.0,496672.0,486208.0,518800.0,471368.0,466672.0
audio_bitsSentPerSecond,0.0,177104.0,181992.0,196496.0,243864.0,244272.0,219720.0,76504.0,86400.0,90408.0,89888.0,88384.0,91952.0,92896.0,93240.0,99952.0,105600.0,114096.0,115856.0,115864.0,117632.0,114728.0,118912.0,121952.0,121184.0,127168.0,140104.0,151240.0,166640.0,156576.0,178016.0,191912.0,183232.0,206048.0,212424.0,228232.0,228864.0,228256.0,237728.0,239640.0,228352.0,258536.0,245896.0,255568.0,259752.0,259224.0,264896.0,270992.0,276632.0,278384.0,263472.0,290704.0,280056.0,292216.0,296824.0,269080.0,241920.0,213256.0,263592.0,161968.0,171856.0,178336.0,181808.0,191016.0,202536.0,207256.0,215736.0,228672.0,233760.0,242552.0,239776.0,244728.0,236376.0,238264.0,250176.0,244432.0,250400.0,255144.0,246104.0,266080.0,256616.0,295840.0,299664.0,304864.0,324856.0,311992.0,220200.0,200800.0,242528.0,163904.0,104856.0,112600.0,119280.0,115672.0,126984.0,131504.0,143560.0,154824.0,161368.0,158776.0,172224.0,177696.0,191544.0,200024.0,199584.0,214552.0,226840.0,224736.0,236128.0,247592.0,232408.0,244752.0,253456.0,255448.0,259768.0,259624.0,258880.0,265296.0,273552.0,273416.0,290224.0,290208.0,294048.0,284776.0
audio_packetsSentPerSecond,0.0,78.0,80.0,77.0,82.0,83.0,75.0,69.0,66.0,67.0,64.0,70.0,68.0,64.0,68.0,66.0,72.0,78.0,73.0,73.0,76.0,72.0,81.0,77.0,69.0,75.0,80.0,73.0,82.0,78.0,78.0,82.0,77.0,85.0,81.0,80.0,80.0,79.0,87.0,87.0,80.0,88.0,85.0,82.0,88.0,86.0,88.0,88.0,87.0,90.0,83.0,91.0,89.0,95.0,95.0,85.0,84.0,78.0,79.0,72.0,70.0,69.0,73.0,77.0,73.0,77.0,81.0,81.0,79.0,82.0,80.0,82.0,82.0,85.0,86.0,79.0,87.0,85.0,85.0,83.0,88.0,93.0,91.0,89.0,99.0,96.0,81.0,77.0,85.0,69.0,63.0,67.0,66.0,60.0,75.0,77.0,69.0,75.0,80.0,82.0,80.0,78.0,79.0,82.0,79.0,82.0,82.0,81.0,79.0,87.0,76.0,81.0,87.0,86.0,86.0,84.0,83.0,90.0,84.0,88.0,92.0,89.0,95.0,87.0
audio_googLocalAddress,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941,34.70.165.150:57941
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,27.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,56.0,56.0,56.0,48.0,48.0,72.0,72.0,72.0,90.0,90.0,103.0,103.0,103.0,111.0,111.0,116.0,116.0,116.0,120.0,120.0,120.0,97.0,97.0,79.0,79.0,79.0,65.0,65.0,55.0,55.0,55.0,48.0,48.0,43.0,43.0,43.0,39.0,39.0,36.0,36.0,36.0,33.0,33.0,31.0,31.0,31.0,30.0,30.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,58.0,58.0,50.0,50.0,50.0,75.0,75.0,92.0,92.0,92.0,106.0,106.0,115.0,115.0,115.0,121.0,121.0,125.0,125.0,125.0,127.0,127.0,102.0,102.0
