bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0,515852.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
timestamp,1620363961,1620363962,1620363963,1620363964,1620363965,1620363966,1620363967,1620363968,1620363969,1620363970,1620363971,1620363972,1620363973,1620363974,1620363975,1620363976,1620363977,1620363978,1620363979,1620363980,1620363981,1620363982,1620363983,1620363984,1620363985,1620363986,1620363987,1620363988,1620363989,1620363990,1620363991,1620363992,1620363993,1620363994,1620363995,1620363996,1620363997,1620363998,1620363999,1620364000,1620364001,1620364002,1620364003,1620364004,1620364005,1620364006,1620364007,1620364008,1620364009,1620364010,1620364011,1620364012,1620364013,1620364014,1620364015,1620364016,1620364017,1620364018,1620364019,1620364020,1620364021,1620364022,1620364023,1620364024,1620364025,1620364026,1620364027,1620364028,1620364029,1620364030,1620364031,1620364032,1620364033,1620364034,1620364035,1620364036,1620364037,1620364038,1620364039,1620364040,1620364041,1620364042,1620364043,1620364044,1620364045,1620364046,1620364047,1620364048,1620364049,1620364050,1620364051,1620364052,1620364053,1620364054,1620364055,1620364056,1620364057,1620364058,1620364059,1620364060,1620364061,1620364062,1620364063,1620364064,1620364065,1620364066,1620364067,1620364068,1620364069,1620364070,1620364071,1620364072,1620364073,1620364074,1620364075,1620364076,1620364077,1620364078,1620364079,1620364080
audio_bitsReceivedPerSecond,386944.0,382024.0,528136.0,528704.0,482936.0,388840.0,348576.0,337464.0,337328.0,353128.0,376800.0,390088.0,383032.0,425232.0,402760.0,404112.0,419592.0,385576.0,384912.0,386200.0,413216.0,426280.0,424048.0,451416.0,373168.0,352944.0,364040.0,348352.0,347552.0,358376.0,384800.0,334856.0,329744.0,353288.0,315448.0,331136.0,352216.0,352800.0,338336.0,342560.0,362368.0,340344.0,327448.0,338984.0,305984.0,306792.0,325912.0,320448.0,319616.0,322152.0,400856.0,319232.0,348088.0,383984.0,360664.0,384080.0,400776.0,406928.0,398696.0,406632.0,423424.0,415768.0,419936.0,454304.0,434552.0,443392.0,457360.0,458896.0,466200.0,475864.0,485744.0,481456.0,499704.0,528344.0,491456.0,523080.0,527128.0,538896.0,534544.0,537880.0,475016.0,435984.0,420024.0,439688.0,430768.0,418656.0,452408.0,479168.0,474440.0,458432.0,465696.0,483512.0,491400.0,498768.0,482712.0,481008.0,492816.0,501880.0,511632.0,510096.0,574864.0,500864.0,424104.0,437344.0,432136.0,442480.0,469376.0,478712.0,468328.0,464456.0,488664.0,461248.0,496200.0,511704.0,475640.0,486776.0,486824.0,461504.0,484512.0,496008.0
audio_bitsSentPerSecond,309352.0,278808.0,258536.0,270136.0,247504.0,268744.0,254976.0,248112.0,268672.0,250936.0,245808.0,252696.0,261608.0,260256.0,249120.0,261064.0,252216.0,243960.0,273872.0,250232.0,242632.0,255424.0,257176.0,273336.0,240056.0,266088.0,252928.0,252168.0,268536.0,245736.0,248224.0,259168.0,260792.0,277584.0,241072.0,271472.0,256352.0,247056.0,272072.0,251160.0,247024.0,255000.0,266632.0,278872.0,244912.0,279576.0,265304.0,247120.0,273528.0,251776.0,247376.0,272072.0,251864.0,267832.0,239096.0,266672.0,257568.0,247184.0,269024.0,249568.0,249816.0,260992.0,256256.0,282432.0,243568.0,275272.0,264600.0,254416.0,274136.0,257456.0,260096.0,268904.0,261184.0,280456.0,251496.0,274544.0,264080.0,254112.0,276688.0,258328.0,251608.0,256280.0,258848.0,270896.0,242968.0,268960.0,254160.0,252816.0,270920.0,258696.0,252896.0,263408.0,266016.0,279640.0,252272.0,278032.0,258152.0,258008.0,273472.0,263416.0,262296.0,276648.0,258304.0,273608.0,254176.0,274976.0,254776.0,261960.0,269784.0,265584.0,257784.0,259504.0,268536.0,275352.0,252768.0,274304.0,256800.0,264184.0,274232.0,266064.0
audio_packetsSentPerSecond,142.0,140.0,140.0,134.0,137.0,140.0,138.0,136.0,137.0,137.0,137.0,136.0,138.0,135.0,138.0,137.0,136.0,134.0,139.0,137.0,137.0,138.0,134.0,136.0,137.0,140.0,137.0,137.0,136.0,134.0,135.0,137.0,137.0,139.0,135.0,138.0,136.0,136.0,137.0,136.0,136.0,136.0,138.0,137.0,134.0,141.0,135.0,137.0,137.0,136.0,138.0,137.0,139.0,139.0,136.0,139.0,134.0,138.0,134.0,136.0,136.0,139.0,135.0,137.0,138.0,137.0,136.0,136.0,135.0,136.0,136.0,138.0,135.0,137.0,141.0,134.0,138.0,136.0,134.0,140.0,137.0,137.0,137.0,135.0,136.0,137.0,138.0,135.0,139.0,135.0,135.0,139.0,137.0,138.0,141.0,136.0,135.0,137.0,138.0,134.0,137.0,142.0,138.0,137.0,137.0,138.0,137.0,136.0,137.0,137.0,135.0,141.0,136.0,139.0,136.0,136.0,137.0,139.0,136.0,139.0
audio_googLocalAddress,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504,35.238.104.72:43504
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,27.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
