bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,0.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0,3250381.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0
timestamp,1620386737,1620386738,1620386739,1620386740,1620386741,1620386742,1620386743,1620386744,1620386745,1620386746,1620386747,1620386748,1620386749,1620386750,1620386751,1620386752,1620386753,1620386754,1620386755,1620386756,1620386757,1620386758,1620386759,1620386760,1620386761,1620386762,1620386763,1620386764,1620386765,1620386766,1620386767,1620386768,1620386769,1620386770,1620386771,1620386772,1620386773,1620386774,1620386775,1620386776,1620386777,1620386778,1620386779,1620386780,1620386781,1620386782,1620386783,1620386784,1620386785,1620386786,1620386787,1620386788,1620386789,1620386790,1620386791,1620386792,1620386793,1620386794,1620386795,1620386796,1620386797,1620386798,1620386799,1620386800,1620386801,1620386802,1620386803,1620386804,1620386805,1620386806,1620386807,1620386808,1620386809,1620386810,1620386811,1620386812,1620386813,1620386814,1620386815,1620386816,1620386817,1620386818,1620386819,1620386820,1620386821,1620386822,1620386823,1620386824,1620386825,1620386826,1620386827,1620386828,1620386829,1620386830,1620386831,1620386832,1620386833,1620386834,1620386835,1620386836,1620386837,1620386838,1620386839,1620386840,1620386841,1620386842,1620386843,1620386844,1620386845,1620386846,1620386847,1620386848,1620386849,1620386850,1620386851,1620386852,1620386853,1620386854,1620386855,1620386856,1620386857
audio_bitsReceivedPerSecond,0.0,350240.0,446040.0,499064.0,406232.0,410064.0,453272.0,434648.0,470512.0,469824.0,485920.0,498640.0,489776.0,520048.0,490600.0,496200.0,511280.0,492896.0,517632.0,498760.0,479504.0,496976.0,509920.0,521224.0,481040.0,488824.0,500968.0,483832.0,521488.0,507224.0,486288.0,501552.0,492792.0,512504.0,484584.0,490488.0,496536.0,456584.0,482736.0,473616.0,471280.0,491624.0,490816.0,508776.0,481056.0,489032.0,451000.0,397280.0,412576.0,402456.0,403400.0,424760.0,437480.0,467120.0,437680.0,499656.0,466064.0,461200.0,487736.0,455080.0,454216.0,477608.0,488632.0,499200.0,464208.0,481432.0,500120.0,466936.0,471864.0,390472.0,375512.0,378936.0,376232.0,379920.0,303784.0,345080.0,324336.0,332472.0,353752.0,352792.0,342584.0,353936.0,359696.0,378616.0,352336.0,370984.0,384648.0,368568.0,399192.0,387296.0,380960.0,405984.0,409072.0,420160.0,413392.0,448112.0,435936.0,445072.0,470576.0,460184.0,461256.0,479504.0,488264.0,473376.0,481808.0,499616.0,466176.0,450344.0,431656.0,402096.0,396544.0,418968.0,440248.0,448704.0,450496.0,487848.0,467024.0,479264.0,505672.0,481144.0,466792.0
audio_bitsSentPerSecond,0.0,372440.0,297168.0,289680.0,303608.0,287160.0,296176.0,307984.0,255104.0,264952.0,264536.0,269424.0,258056.0,253448.0,270776.0,266848.0,272168.0,249144.0,272280.0,261880.0,258840.0,261944.0,252600.0,247768.0,270840.0,255704.0,274144.0,251208.0,263864.0,265648.0,261720.0,269952.0,258184.0,252944.0,270016.0,265288.0,277264.0,258200.0,264704.0,263856.0,260944.0,266792.0,252544.0,247624.0,270696.0,265328.0,267432.0,256992.0,265200.0,263344.0,255720.0,269648.0,269416.0,236296.0,264024.0,268624.0,275584.0,266632.0,266544.0,257128.0,260328.0,279936.0,257048.0,252664.0,274168.0,264112.0,276048.0,252816.0,259528.0,265440.0,251320.0,272616.0,252264.0,247040.0,263344.0,261152.0,269976.0,256792.0,249784.0,264864.0,253040.0,282264.0,269968.0,262192.0,271544.0,268808.0,281288.0,256440.0,267984.0,266448.0,258664.0,276272.0,262640.0,251064.0,271344.0,264560.0,277168.0,253192.0,264800.0,271544.0,253048.0,285520.0,269768.0,245000.0,259512.0,264984.0,284568.0,258672.0,278880.0,262056.0,256000.0,281992.0,260264.0,247984.0,271680.0,262640.0,281840.0,249968.0,259296.0,281496.0,252568.0
audio_packetsSentPerSecond,0.0,153.0,138.0,141.0,137.0,136.0,136.0,140.0,136.0,136.0,138.0,137.0,135.0,137.0,136.0,138.0,135.0,137.0,134.0,135.0,135.0,137.0,136.0,139.0,135.0,136.0,137.0,134.0,135.0,138.0,136.0,137.0,134.0,136.0,136.0,136.0,137.0,137.0,135.0,137.0,136.0,135.0,138.0,135.0,138.0,136.0,136.0,139.0,134.0,137.0,136.0,138.0,138.0,137.0,137.0,137.0,136.0,137.0,136.0,131.0,138.0,138.0,134.0,136.0,138.0,136.0,139.0,133.0,134.0,135.0,137.0,137.0,135.0,135.0,137.0,140.0,134.0,139.0,133.0,137.0,138.0,134.0,139.0,134.0,138.0,138.0,137.0,136.0,138.0,134.0,137.0,134.0,138.0,135.0,139.0,136.0,138.0,135.0,138.0,137.0,135.0,137.0,139.0,137.0,135.0,137.0,137.0,138.0,137.0,135.0,139.0,137.0,137.0,132.0,139.0,136.0,135.0,140.0,132.0,142.0,136.0
audio_googLocalAddress,c33ac75b-d0c1-4bb4-a934-59ce20abc2c4.local:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518,35.238.104.72:37518
audio_googRemoteAddress,10.50.65.148:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,3000.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
