bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,0.0,0.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,584701.0,146235.0,158267.0,158267.0,162182.0,165701.0,166870.0,173636.0,185004.0,189014.0,0.0,99829.0,108815.0,118520.0,129002.0,140322.0,152548.0,155823.0,155823.0,156823.0,161823.0,166599.0,178487.0,182119.0,182119.0,185060.0,188526.0,198141.0,213882.0,231993.0,251552.0,272676.0,153893.0,167204.0,181580.0,192421.0,208815.0,226520.0,245642.0,266293.0,288596.0,312684.0,328421.0,332887.0,332887.0,332887.0,332887.0,332887.0,336649.0,336649.0,336649.0,336649.0,345005.0,351720.0,357917.0,213237.0,231296.0,246908.0,256642.0,275939.0,299014.0,323935.0,343160.0,362931.0,385788.0,396542.0,403115.0,408147.0,414713.0,421240.0,432228.0,445572.0,218662.0,236075.0,255961.0,262260.0,270642.0,278035.0,279035.0,286156.0,307463.0,314474.0,326638.0,335858.0,341784.0,352652.0,353652.0,357771.0,358771.0,358771.0,358771.0,358771.0,358771.0,358771.0,358771.0,358771.0,358771.0,358771.0,358771.0,358771.0,361173.0,365843.0,369255.0,369255.0,369255.0,369255.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,11.0,0.0,0.0,0.0,240.0,782.0,1037.0,1440.0,1724.0,1941.0,1957.0,1956.0,1960.0,1940.0,1968.0,2474.0,2457.0,2040.0,1991.0,1990.0,2008.0,1940.0,1971.0,1991.0,1973.0,1974.0,1941.0,1957.0,1970.0,1953.0,1800.0,1976.0,1969.0,1772.0,2009.0,1800.0,2040.0,2226.0,1959.0,1936.0,1958.0,1944.0,1804.0,1800.0,1770.0,1802.0,1941.0,1798.0,1991.0,1955.0,1803.0,1987.0,1799.0,1943.0,1972.0,1772.0,1957.0,1957.0,1975.0,1990.0,1957.0,1791.0,1959.0,1942.0,1791.0,2040.0,1792.0,1756.0,1772.0,1773.0,1712.0,1489.0,1298.0,1260.0,1008.0,745.0,1191.0,1257.0,1556.0,1759.0,1775.0,1801.0,1804.0,1786.0,1961.0,1789.0,1989.0,1804.0,1789.0,1803.0,1957.0,1779.0,1790.0,1782.0,1775.0,1940.0,1775.0,1736.0,1760.0,1759.0,1748.0,2022.0,1801.0,1795.0,1787.0,1777.0,1790.0,1939.0,1804.0
timestamp,1620390128,1620390129,1620390130,1620390131,1620390132,1620390133,1620390134,1620390135,1620390136,1620390137,1620390138,1620390139,1620390140,1620390141,1620390142,1620390143,1620390144,1620390145,1620390146,1620390147,1620390148,1620390149,1620390150,1620390151,1620390152,1620390153,1620390154,1620390155,1620390156,1620390157,1620390158,1620390159,1620390160,1620390161,1620390162,1620390163,1620390164,1620390165,1620390166,1620390167,1620390168,1620390169,1620390170,1620390171,1620390172,1620390173,1620390174,1620390175,1620390176,1620390177,1620390178,1620390179,1620390180,1620390181,1620390182,1620390183,1620390184,1620390185,1620390186,1620390187,1620390188,1620390189,1620390190,1620390191,1620390192,1620390193,1620390194,1620390195,1620390196,1620390197,1620390198,1620390199,1620390200,1620390201,1620390202,1620390203,1620390204,1620390205,1620390206,1620390207,1620390208,1620390209,1620390210,1620390211,1620390212,1620390213,1620390214,1620390215,1620390216,1620390217,1620390218,1620390219,1620390220,1620390221,1620390222,1620390223,1620390224,1620390225,1620390226,1620390227,1620390228,1620390229,1620390230,1620390231,1620390232,1620390233,1620390234,1620390235,1620390236,1620390237,1620390238,1620390239,1620390240,1620390241,1620390242,1620390243,1620390244,1620390245,1620390246,1620390247,1620390248,1620390249,1620390250
audio_bitsReceivedPerSecond,-1,0.0,470656.0,502120.0,515568.0,482296.0,508648.0,510040.0,478440.0,523712.0,509504.0,479000.0,493544.0,504856.0,513912.0,481520.0,493880.0,525944.0,484024.0,504400.0,478888.0,446656.0,466104.0,470184.0,486472.0,459472.0,486976.0,480768.0,459752.0,486672.0,480960.0,458208.0,470832.0,481840.0,493440.0,472816.0,466848.0,497104.0,497608.0,502656.0,500920.0,464728.0,472792.0,494896.0,506608.0,475856.0,494568.0,515680.0,463280.0,491728.0,515288.0,490360.0,526768.0,476200.0,498400.0,492904.0,479480.0,495936.0,490808.0,489688.0,499064.0,476664.0,507080.0,506280.0,509336.0,481104.0,457240.0,492792.0,457304.0,476440.0,489048.0,449888.0,457096.0,485040.0,485504.0,475192.0,455024.0,496808.0,469760.0,474928.0,497560.0,457984.0,463720.0,477424.0,492368.0,487104.0,457384.0,500968.0,484072.0,488696.0,497760.0,464280.0,475240.0,513200.0,492200.0,515888.0,458000.0,507768.0,496384.0,481944.0,517176.0,475096.0,499592.0,471936.0,490168.0,504888.0,459232.0,506976.0,485144.0,477672.0,504664.0,473744.0,472248.0,495720.0,490440.0,497384.0,461192.0,507016.0,476560.0,493304.0,536736.0,479208.0,479648.0
audio_bitsSentPerSecond,-1,0.0,264336.0,214728.0,266096.0,252832.0,206760.0,268400.0,262016.0,253336.0,293216.0,243664.0,234880.0,265128.0,240120.0,235032.0,241016.0,226944.0,207136.0,104192.0,108896.0,107240.0,114360.0,114080.0,136104.0,142648.0,151776.0,162248.0,159600.0,111400.0,110368.0,97200.0,97088.0,104480.0,112664.0,122064.0,133264.0,138888.0,137760.0,142480.0,142104.0,142096.0,153032.0,160144.0,175864.0,169104.0,174992.0,188128.0,209600.0,213904.0,192136.0,167912.0,159776.0,157976.0,166976.0,174392.0,188088.0,202368.0,217800.0,234264.0,242776.0,250616.0,250024.0,249568.0,250040.0,247168.0,251928.0,246792.0,245136.0,255480.0,252360.0,264944.0,246520.0,234048.0,218952.0,219472.0,230856.0,226864.0,242688.0,229736.0,240296.0,256104.0,259376.0,264360.0,266656.0,266504.0,277832.0,283480.0,292176.0,293344.0,155552.0,165384.0,179624.0,194824.0,228368.0,232272.0,243640.0,240696.0,246504.0,254504.0,242480.0,236384.0,231464.0,249888.0,251160.0,247632.0,237536.0,245056.0,242688.0,233160.0,247472.0,236120.0,255200.0,240368.0,236384.0,246080.0,247568.0,240848.0,247400.0,245848.0,251448.0,243944.0,252504.0
audio_packetsSentPerSecond,-1,0.0,96.0,79.0,85.0,81.0,72.0,85.0,82.0,85.0,85.0,84.0,80.0,83.0,83.0,82.0,83.0,80.0,72.0,59.0,63.0,65.0,65.0,70.0,70.0,77.0,72.0,77.0,69.0,57.0,57.0,82.0,78.0,74.0,72.0,72.0,73.0,73.0,71.0,77.0,76.0,75.0,71.0,73.0,81.0,74.0,76.0,78.0,77.0,81.0,69.0,64.0,86.0,80.0,76.0,75.0,78.0,79.0,83.0,80.0,82.0,81.0,82.0,83.0,85.0,79.0,82.0,81.0,84.0,86.0,79.0,83.0,82.0,81.0,80.0,84.0,81.0,80.0,83.0,74.0,81.0,84.0,86.0,83.0,88.0,88.0,86.0,85.0,91.0,92.0,68.0,71.0,70.0,76.0,85.0,79.0,82.0,83.0,80.0,89.0,81.0,84.0,80.0,80.0,85.0,80.0,82.0,83.0,84.0,77.0,85.0,81.0,82.0,85.0,82.0,77.0,90.0,82.0,84.0,84.0,83.0,79.0,85.0
audio_googLocalAddress,-1,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292,34.70.165.150:45292
audio_googRemoteAddress,-1,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,-1,29.0,61.0,84.0,100.0,100.0,111.0,111.0,111.0,119.0,119.0,125.0,125.0,125.0,129.0,129.0,131.0,131.0,131.0,132.0,132.0,130.0,130.0,130.0,130.0,130.0,105.0,105.0,105.0,85.0,85.0,70.0,70.0,70.0,59.0,59.0,51.0,51.0,51.0,45.0,45.0,40.0,40.0,40.0,37.0,37.0,37.0,35.0,35.0,33.0,33.0,33.0,31.0,31.0,30.0,30.0,30.0,29.0,29.0,28.0,28.0,28.0,27.0,27.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,58.0,58.0,80.0,80.0,80.0,96.0,96.0,107.0,107.0,107.0,116.0,116.0,121.0,121.0,121.0,125.0,125.0,127.0,127.0,127.0,128.0,128.0,129.0,129.0,129.0,103.0,103.0,84.0,84.0,84.0,70.0
audio_recv_bitsReceivedPerSecond_1342777021,0.0,0.0,3616.0,4112.0,5376.0,0.0,3720.0,7384.0,6968.0,12272.0,8024.0,8272.0,9984.0,8456.0,5264.0,6312.0,9128.0,9112.0,8256.0,8256.0,8264.0,8240.0,8256.0,8256.0,8256.0,8256.0,8240.0,8264.0,8256.0,8240.0,8264.0,8240.0,8264.0,8256.0,9112.0,8264.0,8256.0,8256.0,8256.0,8240.0,8264.0,8256.0,6456.0,11432.0,9128.0,8232.0,9144.0,9112.0,9384.0,9096.0,10016.0,11728.0,11136.0,12848.0,8832.0,10568.0,8576.0,9416.0,9664.0,12008.0,9880.0,9312.0,41464.0,38328.0,23176.0,8664.0,8800.0,6832.0,5680.0,6112.0,6744.0,6688.0,6488.0,8712.0,11456.0,10552.0,7608.0,6288.0,5736.0,7048.0,11168.0,8560.0,6368.0,9496.0,12200.0,10104.0,12752.0,11280.0,10872.0,10952.0,10256.0,11392.0,12056.0,11360.0,8832.0,15744.0,11016.0,9576.0,12568.0,9888.0,10312.0,9792.0,8080.0,9720.0,9096.0,11928.0,9832.0,10920.0,9904.0,7584.0,10360.0,11176.0,8920.0,8312.0,10360.0,9456.0,10688.0,8088.0,8616.0,21128.0,38248.0,18768.0,14496.0
audio_recv_packetsReceivedPerSecond_1342777021,0.0,0.0,4.0,5.0,6.0,0.0,3.0,7.0,6.0,14.0,7.0,8.0,9.0,9.0,4.0,6.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,11.0,9.0,7.0,9.0,9.0,10.0,8.0,10.0,11.0,12.0,13.0,9.0,11.0,9.0,9.0,10.0,12.0,11.0,10.0,49.0,43.0,26.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,12.0,13.0,13.0,13.0,10.0,9.0,12.0,18.0,14.0,8.0,16.0,19.0,16.0,21.0,18.0,17.0,17.0,17.0,19.0,18.0,18.0,11.0,17.0,16.0,14.0,19.0,15.0,16.0,14.0,12.0,14.0,14.0,18.0,15.0,16.0,15.0,11.0,15.0,17.0,13.0,12.0,15.0,14.0,16.0,12.0,13.0,34.0,43.0,19.0,23.0
audio_recv_googCurrentDelayMs_1342777021,0.0,0.0,36.0,53.0,50.0,49.0,57.0,47.0,45.0,72.0,54.0,59.0,50.0,71.0,68.0,60.0,54.0,51.0,49.0,47.0,47.0,48.0,47.0,47.0,47.0,46.0,56.0,45.0,47.0,47.0,46.0,48.0,49.0,49.0,65.0,47.0,55.0,46.0,46.0,56.0,57.0,57.0,52.0,46.0,49.0,59.0,59.0,67.0,69.0,51.0,51.0,62.0,71.0,73.0,55.0,56.0,77.0,73.0,58.0,53.0,73.0,74.0,258.0,502.0,807.0,981.0,444.0,201.0,123.0,72.0,50.0,49.0,56.0,47.0,52.0,70.0,75.0,51.0,51.0,63.0,74.0,62.0,51.0,73.0,61.0,60.0,81.0,71.0,70.0,60.0,69.0,52.0,67.0,60.0,70.0,58.0,55.0,48.0,69.0,50.0,51.0,70.0,72.0,68.0,63.0,50.0,53.0,64.0,62.0,62.0,53.0,66.0,72.0,55.0,59.0,60.0,69.0,53.0,73.0,103.0,248.0,300.0,144.0
