bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,128101.0,77927.0,47901.0,47901.0,49163.0,53595.0,58857.0,64566.0,70141.0,76752.0,83892.0,91603.0,53343.0,51123.0,52626.0,57836.0,63463.0,69540.0,76103.0,83191.0,90846.0,99114.0,108043.0,117686.0,128101.0,139349.0,151497.0,87227.0,87227.0,92625.0,101035.0,110118.0,119134.0,129665.0,78757.0,78757.0
bweforvideo-googBucketDelay,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
timestamp,1544722322,1544722323,1544722324,1544722325,1544722326,1544722327,1544722328,1544722329,1544722330,1544722331,1544722332,1544722333,1544722334,1544722335,1544722336,1544722337,1544722338,1544722339,1544722340,1544722341,1544722342,1544722343,1544722344,1544722345,1544722346,1544722347,1544722348,1544722349,1544722350,1544722351,1544722352,1544722353,1544722354,1544722355,1544722356,1544722357
audio_bitsReceivedPerSecond,170072.0,198792.0,138720.0,124016.0,138616.0,172984.0,173688.0,214848.0,192463.53646353647,211235.23523523525,202496.0,164960.0,151528.0,129896.0,155372.62737262738,171459.45945945947,182560.0,217928.0,206937.06293706293,219264.0,198918.9189189189,174649.35064935064,153161.16116116117,135152.0,161726.27372627374,179499.4994994995,189304.0,221776.0,200655.34465534464,158480.0,180688.0,206504.0,191024.0,170848.0,157504.0,165792.0
audio_bitsSentPerSecond,155992.0,150336.0,142688.0,88360.0,101848.0,108992.0,93264.0,111056.0,124259.74025974025,116516.51651651652,116288.0,126536.0,153808.0,114200.0,98301.6983016983,97841.84184184184,116000.0,119400.0,130701.2987012987,136024.0,129937.93793793794,142681.3186813187,159583.5835835836,169064.0,180659.34065934067,168600.6006006006,182352.0,202320.0,169054.94505494504,126608.0,119624.0,135520.0,156576.0,159352.0,203312.0,112200.0
audio_packetsSentPerSecond,128.0,120.0,121.0,75.0,85.0,72.0,70.0,81.0,81.91808191808192,83.08308308308308,115.0,124.0,125.0,82.0,78.92107892107892,72.07207207207207,82.0,95.0,90.9090909090909,93.0,115.11511511511512,125.87412587412588,125.12512512512512,127.0,126.87312687312688,131.13113113113113,129.0,132.0,107.89210789210789,98.0,116.0,125.0,127.0,127.0,131.0,90.0
audio_googLocalAddress,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382,35.204.92.114:38382
audio_googRemoteAddress,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000
audio_googRtt,62.0,62.0,62.0,50.0,50.0,41.0,41.0,41.0,34.0,34.0,29.0,29.0,29.0,25.0,25.0,22.0,22.0,22.0,20.0,20.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,51.0,51.0,42.0,42.0,42.0,35.0,35.0,30.0
audio_send_bitsSentPerSecond,39792.0,27952.0,35848.0,41208.0,40400.0,40400.0,40400.0,39592.0,41166.83316683317,40440.44044044044,32928.0,28896.0,40064.0,39592.0,41166.83316683317,40440.44044044044,40400.0,40400.0,40359.64035964036,40400.0,39831.831831831834,38505.494505494506,40440.44044044044,40400.0,35924.07592407592,24856.856856856855,24912.0,24728.0,24975.024975024975,25216.0,25112.0,25152.0,25336.0,25008.0,24400.0,24680.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,50.0,50.0,49.0,51.0,50.0,50.0,50.0,49.0,50.94905094905095,50.050050050050054,50.0,50.0,50.0,49.0,50.94905094905095,50.050050050050054,50.0,50.0,49.95004995004995,50.0,50.050050050050054,49.95004995004995,50.050050050050054,50.0,49.95004995004995,50.050050050050054,50.0,50.0,49.95004995004995,50.0,50.0,50.0,50.0,50.0,50.0,50.0
audio_send_googJitterReceived,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17.0,17.0,17.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
audio_send_googRtt,16.0,16.0,16.0,16.0,16.0,16.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,93.0,93.0,93.0,93.0,93.0,93.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
video_send_bitsSentPerSecond,103920.0,114968.0,95472.0,40728.0,51840.0,60816.0,44280.0,64000.0,69874.12587412588,68572.57257257258,72040.0,88528.0,101944.0,68536.0,48415.58441558442,49697.697697697695,66136.0,70944.0,76451.54845154846,87040.0,79335.33533533533,94881.11888111888,107603.60360360361,118608.0,133042.95704295704,131667.66766766767,144248.0,166560.0,129742.25774225775,92520.0,83928.0,101384.0,118944.0,123984.0,165944.0,80424.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,60.0,60.0,57.0,14.0,22.0,11.0,9.0,19.0,13.986013986013987,20.02002002002002,49.0,60.0,59.0,25.0,17.982017982017982,10.01001001001001,20.0,31.0,23.976023976023978,26.0,52.052052052052055,59.94005994005994,60.06006006006006,60.0,60.93906093906094,60.06006006006006,60.0,60.0,42.95704295704296,33.0,54.0,61.0,60.0,59.0,62.0,28.0
video_send_googEncodeUsagePercent,15.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0
video_send_googFrameHeightSent,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_send_googFrameRateSent,60.0,60.0,56.0,15.0,23.0,12.0,9.0,19.0,14.0,19.0,49.0,61.0,61.0,25.0,18.0,10.0,20.0,31.0,24.0,27.0,53.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,42.0,34.0,55.0,60.0,60.0,60.0,58.0,27.0
video_send_googFrameWidthSent,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
video_send_googRtt,25.0,53.0,72.0,55.0,64.0,49.0,38.0,52.0,41.0,54.0,42.0,33.0,27.0,44.0,74.0,56.0,43.0,36.0,29.0,26.0,23.0,28.0,24.0,21.0,19.0,25.0,30.0,25.0,22.0,24.0,24.0,24.0,22.0,19.0,17.0,16.0
audio_recv_bitsReceivedPerSecond,6264.0,8776.0,7936.0,7960.0,6320.0,6824.0,7040.0,7016.0,5986.013986013986,6022.022022022022,6088.0,7928.0,7856.0,7856.0,7840.15984015984,7847.847847847848,7848.0,7816.0,7776.223776223776,7784.0,7767.7677677677675,7768.231768231768,7711.711711711711,7792.0,7680.319680319681,7855.855855855856,5248.0,7160.0,7888.111888111888,7736.0,7736.0,7824.0,6864.0,4528.0,7664.0,6760.0
audio_recv_packetsReceivedPerSecond,6.0,9.0,8.0,8.0,6.0,7.0,7.0,7.0,5.994005994005994,6.006006006006006,6.0,8.0,8.0,8.0,7.992007992007992,8.008008008008009,8.0,8.0,7.992007992007992,8.0,8.008008008008009,7.992007992007992,8.008008008008009,8.0,7.992007992007992,8.008008008008009,5.0,7.0,7.992007992007992,8.0,8.0,8.0,7.0,5.0,8.0,7.0
