bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,300000.0,300000.0,301000.0,237611.0,240611.0,241265.0,241369.0,196279.0,197279.0,206279.0,223781.0,242683.0,250558.0,262773.0,278079.0,292428.0,206345.0,148576.0,160345.0,174173.0,189107.0,137923.0,140924.0,152428.0,165622.0,178120.0,141553.0,151087.0,96255.0,96255.0,68190.0,68190.0,74129.0,80998.0,49268.0,49472.0,52585.0,57172.0,62746.0,68766.0,75267.0,82288.0,89871.0,98061.0,106906.0,116458.0,126775.0,137917.0,148860.0,85825.0,93691.0,102186.0,111361.0,121270.0,131972.0,143530.0,156012.0,167857.0,182286.0,197869.0,214699.0,232875.0,250167.0,129683.0,129683.0,119460.0,130017.0,141418.0,153731.0,167029.0,181391.0,196902.0,213654.0,231746.0,251286.0,272389.0,295180.0,319794.0,208426.0,170748.0,185408.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,106.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,21.0
timestamp,1544722354,1544722355,1544722356,1544722357,1544722358,1544722359,1544722360,1544722361,1544722362,1544722363,1544722364,1544722365,1544722366,1544722367,1544722368,1544722369,1544722370,1544722371,1544722372,1544722373,1544722374,1544722375,1544722376,1544722377,1544722378,1544722379,1544722380,1544722381,1544722382,1544722383,1544722384,1544722385,1544722386,1544722387,1544722388,1544722389,1544722390,1544722391,1544722392,1544722393,1544722394,1544722395,1544722396,1544722397,1544722398,1544722399,1544722400,1544722401,1544722402,1544722403,1544722404,1544722405,1544722406,1544722407,1544722408,1544722409,1544722410,1544722411,1544722412,1544722413,1544722414,1544722415,1544722416,1544722417,1544722418,1544722419,1544722420,1544722421,1544722422,1544722423,1544722424,1544722425,1544722426,1544722427,1544722428,1544722429,1544722430,1544722431,1544722432,1544722433,1544722434,1544722435,1544722436
audio_bitsReceivedPerSecond,-1,-1,-1,-1,0.0,294408.0,266480.0,307864.0,300416.0,366817.1828171828,372172.17217217217,283352.0,257734.26573426573,268596.5965965966,272087.9120879121,223951.95195195195,245410.5894105894,275347.34734734736,289712.0,262088.0,265808.0,246568.0,176912.0,263784.0,176199.8001998002,170738.73873873873,133904.0,139592.0,150305.6943056943,162418.4184184184,171216.0,178560.0,196472.0,204120.0,220635.36463536465,197045.04504504506,126128.0,136952.0,143472.0,153742.25774225773,164072.0,169049.04904904906,188048.0,190624.0,218648.0,225696.0,249064.0,261848.0,261040.0,312568.0,236952.0,280103.8961038961,233881.88188188188,224752.0,260024.0,256576.0,293088.0,298008.0,298400.0,354408.0,242509.4905094905,346816.0,250658.65865865865,242720.0,270640.0,269728.0,326424.0,294216.0,258040.0,281848.0,261592.0,267832.0,301128.0,318800.0,369928.0,238008.0,355344.0,225608.0,238720.0,253368.0,270896.0,270592.0,313368.0
audio_bitsSentPerSecond,-1,-1,-1,-1,0.0,357880.0,275864.0,296176.0,412304.0,266637.3626373626,216792.79279279278,238936.0,251516.4835164835,345401.4014014014,301786.2137862138,283811.8118118118,319984.015984016,314082.0820820821,283704.0,234072.0,215544.0,259192.0,245504.0,241584.0,178789.2107892108,182582.58258258257,190264.0,205928.0,216031.96803196802,197485.4854854855,195192.0,119584.0,141792.0,88744.0,100691.30869130869,113761.76176176177,119280.0,81848.0,105312.0,81342.65734265734,90752.0,107291.29129129129,109488.0,111320.0,111912.0,124448.0,132728.0,151520.0,147936.0,171040.0,179368.0,155500.4995004995,155267.26726726728,157120.0,166568.0,148272.0,165416.0,166992.0,166456.0,189648.0,196995.004995005,234656.0,241457.45745745747,258168.0,264392.0,262176.0,204304.0,184784.0,185976.0,193776.0,195232.0,226040.0,223984.0,253040.0,257584.0,250256.0,289352.0,296648.0,265664.0,320032.0,321504.0,249088.0,257672.0
audio_packetsSentPerSecond,-1,-1,-1,-1,0.0,114.0,102.0,107.0,128.0,101.8981018981019,96.09609609609609,102.0,102.8971028971029,114.11411411411412,131.86813186813185,133.13313313313313,131.86813186813185,132.13213213213214,136.0,130.0,127.0,127.0,127.0,131.0,125.87412587412588,123.12312312312312,125.0,128.0,130.86913086913086,124.12412412412412,120.0,97.0,115.0,89.0,99.9000999000999,118.11811811811812,107.0,78.0,88.0,94.9050949050949,118.0,120.12012012012012,119.0,119.0,120.0,122.0,119.0,125.0,122.0,124.0,124.0,120.87912087912088,119.11911911911912,121.0,125.0,121.0,127.0,123.0,127.0,125.0,126.87312687312688,133.0,132.13213213213214,131.0,132.0,134.0,125.0,122.0,125.0,125.0,125.0,129.0,129.0,130.0,131.0,128.0,132.0,133.0,132.0,131.0,132.0,130.0,127.0
audio_googLocalAddress,-1,-1,-1,-1,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194,10.164.0.11:40194
audio_googRemoteAddress,-1,-1,-1,-1,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235,10.164.0.12:35235
audio_googRtt,-1,-1,-1,-1,55.0,156.0,156.0,644.0,700.0,700.0,621.0,621.0,465.0,465.0,465.0,349.0,349.0,262.0,262.0,262.0,225.0,225.0,225.0,242.0,242.0,232.0,232.0,174.0,174.0,174.0,130.0,130.0,148.0,148.0,148.0,163.0,163.0,122.0,122.0,122.0,91.0,91.0,68.0,68.0,68.0,51.0,51.0,38.0,38.0,38.0,93.0,93.0,70.0,70.0,70.0,52.0,52.0,39.0,39.0,39.0,92.0,92.0,69.0,69.0,69.0,52.0,52.0,39.0,39.0,39.0,29.0,29.0,22.0,22.0,22.0,86.0,86.0,64.0,64.0,64.0,48.0,48.0,36.0
