bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,224588.0,224588.0,224588.0,178091.0,178091.0,193338.0,132164.0,143737.0,97416.0,106209.0,115706.0,104038.0,104934.0,104934.0,107002.0,111014.0,114946.0,119006.0,122934.0,129398.0,140750.0,153010.0,166251.0,180551.0,129380.0,107464.0,107464.0,110287.0,115813.0,122564.0,130828.0,141243.0,152901.0,166133.0,180424.0,195858.0,211876.0,229826.0,249212.0,132837.0,121718.0,121718.0,121718.0,126514.0,132807.0,141207.0,151418.0,164531.0,178693.0,78515.0,78515.0,78810.0,83444.0,90942.0,99217.0,108154.0,117806.0,128230.0,139488.0,79812.0,79812.0,81416.0,88385.0
bweforvideo-googBucketDelay,1.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
timestamp,1547996734,1547996735,1547996736,1547996737,1547996738,1547996739,1547996740,1547996741,1547996742,1547996743,1547996744,1547996745,1547996746,1547996747,1547996748,1547996749,1547996750,1547996751,1547996752,1547996753,1547996754,1547996755,1547996756,1547996757,1547996758,1547996759,1547996760,1547996761,1547996762,1547996763,1547996764,1547996765,1547996766,1547996767,1547996768,1547996769,1547996770,1547996771,1547996772,1547996773,1547996774,1547996775,1547996776,1547996777,1547996778,1547996779,1547996780,1547996781,1547996782,1547996783,1547996784,1547996785,1547996786,1547996787,1547996788,1547996789,1547996790,1547996791,1547996792,1547996793,1547996794,1547996795,1547996796
audio_bitsReceivedPerSecond,0.0,164180.77657542966,184077.29468599035,210216.0,187864.0,206840.0,201480.0,221792.0,198072.0,241352.0,130464.0,225976.0,150480.0,172856.0,152712.0,179200.0,183488.0,194480.0,207144.0,216904.0,181200.0,243984.0,192840.0,168696.0,177232.0,157576.0,165192.0,156176.0,184400.0,197528.0,213808.0,228344.0,234440.0,267640.0,262216.0,229400.0,303656.0,244664.0,199992.007992008,273753.7537537537,202920.0,211264.0,236760.0,253448.0,243144.0,201616.0,277888.0,205696.0,235608.0,246232.0,285768.0,277344.0,298864.0,269888.0,308008.0,220880.0,264752.0,199160.0,222504.0,231864.0,257328.0,262408.0,258464.0
audio_bitsSentPerSecond,0.0,214701.4640356461,323478.26086956525,180144.0,165384.0,260184.0,138024.0,146632.0,157984.0,148176.0,130496.0,157352.0,159680.0,135648.0,162384.0,156376.0,137960.0,130488.0,149032.0,167312.0,160392.0,193224.0,193920.0,201104.0,245272.0,168656.0,140872.0,131288.0,141880.0,168232.0,148544.0,182560.0,184192.0,184904.0,220824.0,215256.0,222016.0,233000.0,240807.1928071928,266018.01801801805,176536.0,164592.0,165896.0,154120.0,181696.0,169704.0,173592.0,188136.0,202448.0,223088.0,114704.0,116792.0,117800.0,120152.0,141976.0,134664.0,141080.0,151992.0,147176.0,182624.0,120080.0,110848.0,128504.0
audio_packetsSentPerSecond,0.0,144.49395289624442,171.4975845410628,130.0,92.0,126.0,110.0,133.0,132.0,123.0,127.0,128.0,127.0,131.0,127.0,122.0,124.0,128.0,127.0,125.0,132.0,134.0,133.0,133.0,130.0,116.0,129.0,127.0,125.0,129.0,126.0,133.0,137.0,133.0,130.0,137.0,135.0,136.0,137.86213786213787,143.14314314314313,128.0,117.0,131.0,133.0,128.0,129.0,132.0,130.0,133.0,129.0,98.0,107.0,94.0,115.0,121.0,106.0,123.0,128.0,130.0,123.0,124.0,104.0,101.0
audio_googLocalAddress,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217,35.204.47.190:50217
audio_googRemoteAddress,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000
audio_googRtt,2540.0,2540.0,2738.0,2738.0,2738.0,2738.0,2629.0,2629.0,2405.0,2405.0,2037.0,2037.0,1662.0,1662.0,1250.0,1250.0,941.0,941.0,941.0,709.0,709.0,535.0,535.0,535.0,486.0,486.0,368.0,368.0,368.0,280.0,280.0,214.0,214.0,214.0,164.0,164.0,127.0,127.0,127.0,189.0,189.0,189.0,196.0,196.0,151.0,151.0,117.0,117.0,117.0,158.0,158.0,122.0,122.0,122.0,95.0,95.0,75.0,75.0,75.0,124.0,124.0,97.0,97.0
audio_send_bitsSentPerSecond_1484936126,0.0,17410.56651814131,10782.608695652174,16032.0,16408.0,16528.0,16352.0,15312.0,15416.0,15688.0,16136.0,15672.0,16248.0,15728.0,15712.0,15712.0,15744.0,15160.0,15144.0,14704.0,15336.0,15912.0,16200.0,16048.0,15608.0,15968.0,16216.0,16632.0,15416.0,15568.0,16112.0,15488.0,16104.0,15768.0,16504.0,15400.0,15872.0,16136.0,15672.327672327672,15575.575575575576,15240.0,15416.0,15600.0,16608.0,16472.0,16344.0,16560.0,15688.0,16512.0,15792.0,15416.0,16592.0,15904.0,15128.0,16712.0,16400.0,16504.0,16464.0,17368.0,15464.0,17264.0,16360.0,14536.0
audio_send_packetsLost_1484936126,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
audio_send_packetsSentPerSecond_1484936126,0.0,50.28644175684278,48.309178743961354,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.95004995004995,50.050050050050054,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,51.0,50.0,50.0
audio_send_googJitterReceived_1484936126,159.0,159.0,159.0,184.0,184.0,184.0,184.0,184.0,184.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,92.0,92.0,92.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,95.0,95.0,95.0,110.0,110.0,110.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,91.0,91.0,91.0,91.0,91.0,91.0,129.0,129.0,129.0,115.0,115.0,115.0,115.0,115.0,111.0,111.0,111.0,111.0,93.0
audio_send_googRtt_1484936126,2682.0,2682.0,2682.0,3062.0,3062.0,3062.0,3062.0,3062.0,3062.0,1246.0,1246.0,1246.0,1246.0,1246.0,1246.0,1246.0,1246.0,356.0,356.0,356.0,356.0,356.0,356.0,356.0,356.0,356.0,356.0,138.0,138.0,138.0,138.0,138.0,138.0,32.0,32.0,32.0,32.0,32.0,32.0,411.0,411.0,411.0,411.0,411.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
video_send_bitsSentPerSecond_893944923,0.0,224865.6906429026,470666.6666666667,209288.0,136952.0,231048.0,106040.0,118680.0,127792.0,123520.0,101824.0,131152.0,128096.0,105352.0,134344.0,131824.0,109680.0,104904.0,121368.0,142920.0,130472.0,165600.0,160840.0,170576.0,216616.0,144008.0,110696.0,104824.0,114408.0,142592.0,119976.0,156280.0,149128.0,154176.0,190856.0,186032.0,193352.0,200936.0,209654.34565434564,237605.6056056056,148408.0,139504.0,133288.0,122648.0,152304.0,144272.0,140752.0,161608.0,171528.0,195768.0,88464.0,90816.0,86664.0,91792.0,112584.0,108680.0,112360.0,125280.0,116024.0,157056.0,91208.0,85872.0,98688.0
video_send_packetsLost_893944923,465.0,469.0,555.0,579.0,594.0,594.0,589.0,496.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0
video_send_packetsSentPerSecond_893944923,0.0,64.29026098026735,91.78743961352657,51.0,22.0,51.0,40.0,60.0,61.0,60.0,59.0,61.0,59.0,60.0,60.0,57.0,56.0,60.0,60.0,59.0,60.0,63.0,60.0,60.0,60.0,51.0,58.0,60.0,59.0,61.0,59.0,64.0,60.0,60.0,60.0,60.0,60.0,59.0,60.93906093906094,69.06906906906907,60.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,35.0,42.0,26.0,46.0,54.0,40.0,57.0,61.0,60.0,58.0,59.0,41.0,32.0
video_send_googEncodeUsagePercent_893944923,20.0,18.0,18.0,17.0,16.0,16.0,15.0,15.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
video_send_googFrameHeightSent_893944923,360.0,360.0,360.0,360.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_send_googFrameRateSent_893944923,61.0,60.0,60.0,38.0,14.0,36.0,37.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,56.0,56.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,51.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,48.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,33.0,42.0,27.0,46.0,54.0,40.0,56.0,59.0,60.0,60.0,57.0,41.0,32.0
video_send_googFrameWidthSent_893944923,640.0,640.0,640.0,640.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
video_send_googRtt_893944923,2570.0,2683.0,2802.0,2897.0,2912.0,2918.0,2860.0,2809.0,2721.0,2604.0,2355.0,2071.0,1841.0,1670.0,1267.0,1014.0,837.0,713.0,626.0,442.0,348.0,283.0,202.0,180.0,164.0,167.0,248.0,257.0,214.0,154.0,124.0,109.0,99.0,86.0,77.0,77.0,70.0,53.0,41.0,35.0,59.0,206.0,339.0,253.0,189.0,138.0,103.0,78.0,59.0,47.0,39.0,130.0,102.0,78.0,61.0,49.0,61.0,81.0,96.0,94.0,70.0,154.0,114.0
audio_recv_bitsReceivedPerSecond_656188999,0.0,8336.09166136219,7014.492753623188,8000.0,7936.0,7880.0,7912.0,7944.0,6944.0,6608.0,6760.0,7968.0,7840.0,7864.0,7928.0,7872.0,7824.0,7840.0,7928.0,7792.0,7824.0,7792.0,7784.0,7816.0,7792.0,7752.0,7744.0,7792.0,7712.0,7752.0,6624.0,6568.0,7872.0,8000.0,8000.0,8000.0,6784.0,7128.0,5402.597402597403,7271.271271271271,7640.0,7616.0,7656.0,7640.0,7576.0,7640.0,7616.0,7600.0,7760.0,7824.0,7472.0,7592.0,7616.0,6560.0,8752.0,7760.0,7544.0,7752.0,7672.0,7760.0,7840.0,7560.0,7544.0
audio_recv_packetsReceivedPerSecond_656188999,0.0,8.274984086569065,7.246376811594203,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,5.994005994005994,8.008008008008009,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
audio_recv_googCurrentDelayMs_656188999,28.0,21.0,28.0,30.0,21.0,24.0,23.0,17.0,39.0,25.0,34.0,36.0,28.0,26.0,29.0,22.0,31.0,22.0,26.0,26.0,29.0,24.0,29.0,22.0,29.0,25.0,26.0,23.0,22.0,23.0,24.0,23.0,20.0,20.0,16.0,26.0,24.0,39.0,45.0,38.0,34.0,26.0,29.0,30.0,29.0,37.0,30.0,34.0,44.0,38.0,38.0,28.0,32.0,41.0,37.0,36.0,31.0,34.0,32.0,26.0,21.0,28.0,29.0
audio_recv_googJitterBufferMs_656188999,4.0,21.0,8.0,10.0,2.0,2.0,4.0,2.0,20.0,8.0,5.0,9.0,4.0,2.0,9.0,3.0,11.0,2.0,8.0,7.0,9.0,4.0,9.0,0.0,6.0,6.0,8.0,6.0,5.0,8.0,12.0,12.0,7.0,7.0,0.0,4.0,5.0,11.0,9.0,5.0,8.0,2.0,2.0,5.0,2.0,9.0,3.0,7.0,9.0,8.0,10.0,1.0,6.0,16.0,10.0,13.0,11.0,11.0,10.0,5.0,3.0,8.0,9.0
audio_recv_googJitterReceived_656188999,101.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,99.0,99.0,99.0,99.0,99.0,99.0,102.0,102.0,102.0,102.0,102.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,140.0,140.0,140.0,140.0,140.0,140.0,99.0,99.0,99.0,99.0,99.0,99.0,111.0,111.0,111.0,111.0,111.0,111.0,95.0,95.0,95.0,95.0,95.0,95.0
audio_recv_googPreferredJitterBufferMs_656188999,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0
