bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0,961050.0
bweforvideo-googBucketDelay,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0
timestamp,1620381412,1620381413,1620381414,1620381415,1620381416,1620381417,1620381418,1620381419,1620381420,1620381421,1620381422,1620381423,1620381424,1620381425,1620381426,1620381427,1620381428,1620381429,1620381430,1620381431,1620381432,1620381433,1620381434,1620381435,1620381436,1620381437,1620381438,1620381439,1620381440,1620381441,1620381442,1620381443,1620381444,1620381445,1620381446,1620381447,1620381448,1620381449,1620381450,1620381451,1620381452,1620381453,1620381454,1620381455,1620381456,1620381457,1620381458,1620381459,1620381460,1620381461,1620381462,1620381463,1620381464,1620381465,1620381466,1620381467,1620381468,1620381469,1620381470,1620381471,1620381472,1620381473,1620381474,1620381475,1620381476,1620381477,1620381478,1620381479,1620381480,1620381481,1620381482,1620381483,1620381484,1620381485,1620381486,1620381487,1620381488,1620381489,1620381490,1620381491,1620381492,1620381493,1620381494,1620381495,1620381496,1620381497,1620381498,1620381499,1620381500,1620381501,1620381502,1620381503,1620381504,1620381505,1620381506,1620381507,1620381508,1620381509,1620381510,1620381511,1620381512,1620381513,1620381514,1620381515,1620381516,1620381517,1620381518,1620381519,1620381520,1620381521,1620381522,1620381523,1620381524,1620381525,1620381526,1620381527,1620381528
audio_bitsReceivedPerSecond,504576.0,629352.0,560408.0,468080.0,510320.0,540336.0,466176.0,380560.0,371376.0,382728.0,390592.0,374936.0,395432.0,362480.0,340056.0,334344.0,334864.0,348736.0,359768.0,364904.0,385760.0,385880.0,401592.0,406784.0,423048.0,408760.0,374320.0,361896.0,353560.0,361320.0,381568.0,375856.0,380464.0,396560.0,411696.0,423928.0,429200.0,445176.0,400472.0,391152.0,380808.0,376328.0,381504.0,392816.0,383280.0,368488.0,363864.0,381112.0,361104.0,372920.0,355152.0,365240.0,349088.0,379528.0,395080.0,396808.0,413240.0,376296.0,349688.0,369432.0,340768.0,346384.0,329000.0,345528.0,333112.0,349928.0,368032.0,363368.0,338304.0,340392.0,332248.0,332872.0,337768.0,341560.0,364360.0,352320.0,353096.0,336544.0,336856.0,332712.0,326664.0,323744.0,328560.0,339200.0,346584.0,357752.0,376344.0,392888.0,409504.0,411944.0,432568.0,419424.0,450016.0,458688.0,482168.0,485552.0,485088.0,504528.0,493456.0,521824.0,494584.0,510800.0,479800.0,514544.0,484960.0,451688.0,422624.0,418464.0,426528.0,432544.0,432368.0,445288.0,420208.0,427176.0,423088.0,414512.0,411920.0
audio_bitsSentPerSecond,292288.0,277160.0,299968.0,267808.0,289040.0,266064.0,264808.0,283624.0,263952.0,259192.0,272264.0,267856.0,282104.0,262656.0,277072.0,263736.0,257064.0,281144.0,261976.0,257208.0,271920.0,267184.0,278416.0,252080.0,256752.0,278120.0,251736.0,283272.0,261024.0,253080.0,260168.0,263216.0,277848.0,247744.0,275728.0,243216.0,195824.0,294528.0,269648.0,273856.0,271256.0,264424.0,276752.0,242752.0,247952.0,279856.0,252776.0,279288.0,258720.0,246568.0,265344.0,253568.0,281384.0,243040.0,265168.0,271840.0,246800.0,280576.0,255336.0,252944.0,264536.0,261696.0,279928.0,240032.0,260536.0,276040.0,253848.0,275768.0,251016.0,250368.0,259688.0,262608.0,276216.0,238104.0,253008.0,271928.0,250680.0,277304.0,254160.0,250624.0,263704.0,257560.0,278080.0,241480.0,246032.0,283192.0,251752.0,275056.0,255440.0,252984.0,258032.0,259984.0,276992.0,238632.0,254096.0,269976.0,250248.0,275872.0,259136.0,247072.0,267096.0,267304.0,297768.0,258192.0,285768.0,255976.0,246824.0,279832.0,263840.0,255696.0,259704.0,267696.0,274440.0,246008.0,252968.0,267456.0,252224.0
audio_packetsSentPerSecond,143.0,139.0,137.0,135.0,139.0,135.0,136.0,135.0,137.0,137.0,135.0,136.0,136.0,138.0,138.0,136.0,134.0,136.0,137.0,137.0,137.0,139.0,136.0,135.0,136.0,137.0,134.0,136.0,136.0,138.0,136.0,136.0,137.0,136.0,136.0,130.0,122.0,140.0,136.0,135.0,137.0,137.0,136.0,135.0,135.0,136.0,137.0,136.0,137.0,135.0,137.0,139.0,135.0,135.0,138.0,135.0,135.0,139.0,135.0,138.0,135.0,138.0,134.0,136.0,139.0,132.0,140.0,137.0,133.0,138.0,135.0,136.0,138.0,136.0,133.0,136.0,138.0,135.0,138.0,136.0,135.0,134.0,138.0,136.0,131.0,139.0,136.0,135.0,137.0,137.0,134.0,138.0,136.0,136.0,136.0,135.0,137.0,135.0,141.0,134.0,137.0,138.0,137.0,135.0,142.0,138.0,133.0,138.0,138.0,138.0,134.0,137.0,137.0,135.0,136.0,135.0,138.0
audio_googLocalAddress,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510,35.238.104.72:48510
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,30.0,30.0,30.0,29.0,29.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
