bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0,552122.0
bweforvideo-googBucketDelay,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
timestamp,1620380928,1620380929,1620380930,1620380931,1620380932,1620380933,1620380934,1620380935,1620380936,1620380937,1620380938,1620380939,1620380940,1620380941,1620380942,1620380943,1620380944,1620380945,1620380946,1620380947,1620380948,1620380949,1620380950,1620380951,1620380952,1620380953,1620380954,1620380955,1620380956,1620380957,1620380958,1620380959,1620380960,1620380961,1620380962,1620380963,1620380964,1620380965,1620380966,1620380967,1620380968,1620380969,1620380970,1620380971,1620380972,1620380973,1620380974,1620380975,1620380976,1620380977,1620380978,1620380979,1620380980,1620380981,1620380982,1620380983,1620380984,1620380985,1620380986,1620380987,1620380988,1620380989,1620380990,1620380991,1620380992,1620380993,1620380994,1620380995,1620380996,1620380997,1620380998,1620380999,1620381000,1620381001,1620381002,1620381003,1620381004,1620381005,1620381006,1620381007,1620381008,1620381009,1620381010,1620381011,1620381012,1620381013,1620381014,1620381015,1620381016,1620381017,1620381018,1620381019,1620381020,1620381021,1620381022,1620381023,1620381024,1620381025,1620381026,1620381027,1620381028,1620381029,1620381030,1620381031,1620381032,1620381033,1620381034,1620381035,1620381036,1620381037,1620381038,1620381039,1620381040,1620381041,1620381042,1620381043
audio_bitsReceivedPerSecond,444192.0,480896.0,509704.0,509592.0,417912.0,396624.0,410792.0,431016.0,427376.0,434384.0,443064.0,456184.0,476184.0,480392.0,503200.0,484112.0,470344.0,476240.0,473448.0,480200.0,475592.0,503528.0,498944.0,498264.0,524400.0,481512.0,492896.0,449368.0,457280.0,468416.0,455712.0,468504.0,476888.0,480208.0,482152.0,463704.0,453800.0,471264.0,471776.0,466544.0,489200.0,508336.0,503784.0,532048.0,551128.0,521832.0,532360.0,545784.0,565424.0,560888.0,530808.0,466696.0,453072.0,477512.0,502600.0,493000.0,482248.0,487872.0,487216.0,379560.0,467864.0,502616.0,473920.0,486608.0,434648.0,503440.0,514408.0,502080.0,525856.0,488240.0,430680.0,361560.0,362960.0,376232.0,390640.0,384376.0,397800.0,420696.0,430264.0,438176.0,432632.0,449408.0,450752.0,460920.0,463632.0,472896.0,461384.0,462840.0,485248.0,483168.0,509720.0,525576.0,483296.0,429640.0,402256.0,407336.0,379088.0,379736.0,394192.0,362856.0,406920.0,371480.0,392344.0,421232.0,419600.0,451400.0,439016.0,439312.0,480504.0,436992.0,372496.0,372448.0,347536.0,360520.0,363248.0,382080.0
audio_bitsSentPerSecond,365440.0,256848.0,274136.0,282144.0,255496.0,245928.0,263352.0,251304.0,267176.0,250544.0,263824.0,244016.0,242992.0,266776.0,254960.0,243008.0,261232.0,252008.0,269400.0,253448.0,259936.0,264432.0,252608.0,270376.0,257640.0,246128.0,267896.0,260152.0,277704.0,251928.0,270232.0,262856.0,256776.0,280648.0,269984.0,264048.0,272792.0,270720.0,295272.0,261952.0,267312.0,290008.0,268808.0,293560.0,275824.0,261416.0,269232.0,274760.0,296312.0,265848.0,319584.0,244408.0,255424.0,278016.0,260504.0,250848.0,266296.0,260320.0,280456.0,247096.0,261592.0,274504.0,249656.0,281360.0,261048.0,252080.0,264288.0,264472.0,282648.0,238736.0,255024.0,283976.0,252344.0,280400.0,263864.0,252072.0,268592.0,259184.0,291760.0,239472.0,261992.0,284688.0,247704.0,291856.0,257632.0,247840.0,273280.0,258144.0,291272.0,235832.0,256760.0,284088.0,247344.0,289976.0,257720.0,253640.0,268752.0,259040.0,285000.0,243672.0,291672.0,252720.0,249144.0,291120.0,253728.0,258856.0,272656.0,265992.0,282928.0,237256.0,268512.0,277520.0,254616.0,277032.0,268264.0,251280.0
audio_packetsSentPerSecond,146.0,138.0,137.0,136.0,136.0,137.0,135.0,136.0,138.0,135.0,140.0,137.0,135.0,136.0,139.0,135.0,136.0,137.0,137.0,135.0,138.0,137.0,137.0,137.0,138.0,137.0,136.0,138.0,135.0,135.0,139.0,138.0,135.0,137.0,138.0,137.0,136.0,134.0,140.0,136.0,134.0,136.0,138.0,139.0,137.0,133.0,137.0,136.0,134.0,138.0,142.0,136.0,136.0,139.0,137.0,135.0,139.0,133.0,136.0,138.0,139.0,136.0,134.0,136.0,140.0,137.0,136.0,138.0,135.0,133.0,135.0,138.0,139.0,135.0,137.0,137.0,138.0,134.0,139.0,135.0,136.0,138.0,134.0,138.0,138.0,137.0,135.0,136.0,140.0,134.0,135.0,139.0,136.0,136.0,137.0,136.0,136.0,139.0,137.0,134.0,141.0,138.0,134.0,140.0,136.0,137.0,136.0,137.0,136.0,135.0,141.0,134.0,135.0,137.0,138.0,137.0
audio_googLocalAddress,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784,34.67.229.81:35784
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
