bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,247612.0,268421.0,290895.0,314321.0,335623.0,358813.0,383477.0,415155.0,448201.0,485057.0,524862.0,336308.0,351688.0,379743.0,411122.0,445012.0,480252.0,519672.0,562246.0,606512.0,656033.0,709516.0,765121.0,827331.0,891999.0,477077.0,491019.0,530221.0,568714.0,590025.0,614511.0,640787.0,607662.0,627017.0,651814.0,676101.0,703532.0,752270.0,648145.0,663457.0,479284.0,490547.0,518223.0,545648.0,575647.0,598598.0,623159.0,666181.0,672103.0,685238.0,509080.0,527217.0,570394.0,603012.0,624133.0,649822.0,678622.0,709089.0,673835.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1548002182,1548002183,1548002184,1548002185,1548002186,1548002187,1548002188,1548002189,1548002190,1548002191,1548002192,1548002193,1548002194,1548002195,1548002196,1548002197,1548002198,1548002199,1548002200,1548002201,1548002202,1548002203,1548002204,1548002205,1548002206,1548002207,1548002208,1548002209,1548002210,1548002211,1548002212,1548002213,1548002214,1548002215,1548002216,1548002217,1548002218,1548002219,1548002220,1548002221,1548002222,1548002223,1548002224,1548002225,1548002226,1548002227,1548002228,1548002229,1548002230,1548002231,1548002232,1548002233,1548002234,1548002235,1548002236,1548002237,1548002238,1548002239,1548002240
audio_bitsReceivedPerSecond,492568.0,531968.0,540480.0,595056.0,634344.0,657096.0,651632.0,769776.0,717736.0,740680.0,633760.0,657800.0,638576.0,667472.0,710480.0,707752.0,696008.0,818416.0,873216.0,925528.0,862120.0,860616.0,829624.0,687488.0,740376.0,600112.0,607328.0,660168.0,648456.0,763144.0,782376.0,830816.0,814192.0,695312.0,595536.0,498968.0,525232.0,554720.0,571984.0,605040.0,602528.0,631400.0,621976.0,596368.0,609880.0,442752.0,470408.0,604368.0,570408.0,614392.0,615528.0,702432.0,734808.0,740248.0,883616.0,821232.0,788056.0,816600.0,747700.2997002997
audio_bitsSentPerSecond,369792.0,239664.0,248560.0,463816.0,332688.0,380248.0,420288.0,432064.0,508920.0,485024.0,531080.0,603976.0,452168.0,389488.0,415232.0,477512.0,511136.0,537328.0,616568.0,591896.0,650952.0,670816.0,779064.0,789272.0,821320.0,822424.0,579080.0,610328.0,673840.0,587696.0,629032.0,666272.0,720192.0,682920.0,619920.0,729416.0,722456.0,771256.0,844848.0,742944.0,731376.0,582104.0,631752.0,585808.0,580640.0,630240.0,630088.0,707000.0,780856.0,721904.0,703872.0,607648.0,658760.0,725512.0,546320.0,676128.0,680208.0,765928.0,801510.4895104895
audio_packetsSentPerSecond,181.0,140.0,146.0,209.0,197.0,199.0,197.0,197.0,204.0,198.0,208.0,209.0,198.0,197.0,196.0,196.0,201.0,206.0,211.0,207.0,216.0,212.0,220.0,227.0,231.0,230.0,205.0,206.0,220.0,210.0,212.0,214.0,209.0,216.0,210.0,215.0,218.0,221.0,234.0,220.0,224.0,209.0,211.0,205.0,206.0,208.0,211.0,219.0,228.0,220.0,219.0,211.0,210.0,218.0,211.0,213.0,210.0,223.0,230.76923076923077
audio_googLocalAddress,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254,35.204.92.114:60254
audio_googRemoteAddress,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000
audio_googRtt,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,50.0,50.0,50.0,43.0,43.0,38.0,38.0,38.0,34.0,34.0,31.0,31.0,31.0,29.0,29.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,28.0,28.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,25.0,30.0,30.0,28.0,28.0,28.0,27.0,27.0,26.0,26.0,26.0
audio_send_bitsSentPerSecond_3654932252,15608.0,15688.0,15712.0,15040.0,16440.0,15952.0,15688.0,15792.0,15168.0,16096.0,16096.0,16656.0,15848.0,15864.0,16552.0,16392.0,16336.0,16584.0,16704.0,15408.0,16192.0,16496.0,16664.0,16632.0,16096.0,15880.0,16624.0,16504.0,16592.0,16632.0,16520.0,15616.0,16480.0,16448.0,16008.0,15256.0,15648.0,16496.0,15000.0,16136.0,16144.0,15784.0,15864.0,16368.0,16032.0,15536.0,16488.0,16400.0,16256.0,16040.0,15792.0,15944.0,16048.0,14832.0,15848.0,15488.0,16640.0,16280.0,16543.456543456545
audio_send_packetsLost_3654932252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond_3654932252,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.95004995004995
audio_send_googJitterReceived_3654932252,105.0,105.0,105.0,105.0,135.0,135.0,135.0,109.0,109.0,109.0,109.0,105.0,105.0,105.0,105.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,101.0,101.0,101.0,101.0,114.0,114.0,114.0,114.0,114.0,114.0,103.0,103.0,103.0,103.0,103.0,103.0,106.0,106.0,106.0,106.0,97.0,97.0,97.0,97.0,97.0,97.0,110.0,110.0,110.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,98.0
audio_send_googRtt_3654932252,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,49.0,49.0,49.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,228.0,228.0,228.0,228.0,228.0,228.0,49.0,49.0,49.0,49.0,207.0,207.0,207.0,207.0,207.0,207.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,55.0
video_send_bitsSentPerSecond_743719787,336672.0,204072.0,219640.0,431136.0,300560.0,345344.0,389072.0,398152.0,477632.0,451672.0,494536.0,566040.0,421064.0,355344.0,383536.0,443768.0,479240.0,501072.0,583328.0,558208.0,614288.0,632352.0,746776.0,752888.0,788672.0,787000.0,546480.0,575576.0,640712.0,551824.0,592976.0,629056.0,689448.0,646880.0,587808.0,696776.0,690592.0,736112.0,813264.0,708320.0,694552.0,544304.0,599944.0,552088.0,548264.0,596952.0,598008.0,670512.0,748080.0,687072.0,668392.0,569896.0,626976.0,691856.0,512784.0,642312.0,647736.0,730696.0,767632.3676323676
video_send_packetsLost_743719787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
video_send_packetsSentPerSecond_743719787,103.0,60.0,70.0,134.0,120.0,120.0,120.0,120.0,126.0,123.0,126.0,131.0,122.0,120.0,121.0,121.0,124.0,126.0,133.0,130.0,135.0,133.0,145.0,148.0,154.0,152.0,128.0,129.0,142.0,131.0,133.0,136.0,139.0,137.0,133.0,140.0,140.0,145.0,157.0,144.0,142.0,129.0,134.0,130.0,128.0,132.0,134.0,139.0,151.0,143.0,139.0,132.0,134.0,141.0,129.0,137.0,134.0,146.0,151.84815184815184
video_send_googEncodeUsagePercent_743719787,26.0,26.0,24.0,22.0,22.0,22.0,23.0,23.0,24.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,28.0,29.0,29.0,29.0,28.0,28.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0
video_send_googFrameHeightSent_743719787,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
video_send_googFrameRateSent_743719787,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,58.0,59.0,59.0,59.0,59.0,59.0
video_send_googFrameWidthSent_743719787,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0
video_send_googRtt_743719787,27.0,27.0,26.0,25.0,26.0,26.0,26.0,25.0,26.0,35.0,33.0,30.0,38.0,35.0,40.0,40.0,41.0,42.0,36.0,32.0,29.0,33.0,30.0,33.0,35.0,34.0,43.0,48.0,43.0,37.0,33.0,30.0,30.0,42.0,50.0,42.0,36.0,44.0,38.0,35.0,33.0,47.0,66.0,53.0,44.0,38.0,44.0,49.0,41.0,38.0,35.0,40.0,43.0,37.0,33.0,30.0,29.0,27.0,28.0
audio_recv_bitsReceivedPerSecond_245129878,6840.0,7248.0,7064.0,7472.0,7040.0,7160.0,7304.0,7760.0,6320.0,7144.0,7328.0,7792.0,7760.0,7728.0,7688.0,7664.0,7536.0,6696.0,6544.0,6528.0,7648.0,7656.0,7584.0,6776.0,6976.0,6384.0,7856.0,7856.0,7640.0,6848.0,6520.0,7816.0,6520.0,7408.0,5616.0,7680.0,7552.0,7560.0,7560.0,7488.0,7520.0,7544.0,7520.0,7736.0,7568.0,7512.0,7392.0,7520.0,7568.0,7360.0,7424.0,7352.0,7400.0,7432.0,7392.0,7408.0,7272.0,7152.0,6113.886113886114
audio_recv_packetsReceivedPerSecond_245129878,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.993006993006993
audio_recv_googCurrentDelayMs_245129878,33.0,33.0,42.0,41.0,33.0,38.0,32.0,24.0,22.0,31.0,33.0,27.0,32.0,35.0,32.0,34.0,29.0,25.0,32.0,20.0,24.0,22.0,20.0,23.0,22.0,21.0,28.0,25.0,25.0,26.0,29.0,32.0,29.0,25.0,23.0,23.0,31.0,38.0,34.0,38.0,42.0,35.0,38.0,32.0,28.0,28.0,25.0,34.0,30.0,22.0,24.0,23.0,28.0,23.0,28.0,30.0,28.0,26.0,23.0
