bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,672456.0,430259.0,444475.0,476756.0,510287.0,547723.0,584132.0,628594.0,533750.0,570646.0,600140.0,443609.0,352491.0,370233.0,392476.0,413865.0,437575.0,465980.0,496384.0,531798.0,568926.0,599361.0,645561.0,698156.0,752114.0,811045.0,442191.0,472819.0,511645.0,553577.0,597488.0,646287.0,645623.0,676578.0,710643.0,745223.0,778542.0,677398.0,534339.0,555306.0,586138.0,610797.0,637976.0,665985.0,470165.0,506984.0,403405.0,300617.0
bweforvideo-googBucketDelay,0.0,1.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,17.0
timestamp,1541185151,1541185152,1541185153,1541185154,1541185155,1541185156,1541185157,1541185158,1541185159,1541185160,1541185161,1541185162,1541185163,1541185164,1541185165,1541185166,1541185167,1541185168,1541185169,1541185170,1541185171,1541185172,1541185173,1541185174,1541185175,1541185176,1541185177,1541185178,1541185179,1541185180,1541185181,1541185182,1541185183,1541185184,1541185185,1541185186,1541185187,1541185188,1541185189,1541185190,1541185191,1541185192,1541185193,1541185194,1541185195,1541185196,1541185197,1541185198
audio_bitsReceivedPerSecond,0.0,214539.62600178094,218974.59584295613,234872.0,283312.0,303976.0,327816.55034895317,397584.75426278834,388248.0,447240.0,491488.0,312015.984015984,221952.0,222904.0,266560.0,290874.8748748749,316163.8361638362,355536.0,378120.0,412792.0,473680.0,512736.0,546984.0,519847.84784784785,639160.8391608392,496064.06406406406,477874.12587412586,449248.0,408888.0,451787.7877877878,489152.0,627484.5154845155,533341.3413413414,526001.998001998,644976.0,660520.0,704800.0,670289.7102897103,650850.8508508508,518528.0,547627.6276276276,559424.0,564968.0,522493.5064935065,571496.0,505984.0,530608.0,463336.0
audio_bitsSentPerSecond,0.0,701442.5645592164,472323.3256351039,502808.0,545336.0,602744.0,665116.6500498505,624561.6850551656,735376.0,643520.0,648712.0,665086.9130869131,500520.0,399224.0,444080.0,469093.0930930931,494865.13486513484,509008.0,579152.0,552704.0,608656.0,673632.0,686384.0,689889.8898898899,692691.3086913087,854374.3743743744,641246.7532467532,596704.0,594616.0,590742.7427427428,615600.0,688535.4645354645,759199.1991991992,690661.3386613387,707952.0,793584.0,811568.0,799992.007992008,810690.6906906907,626240.0,662550.5505505506,685472.0,684728.0,691732.2677322677,614792.0,629384.0,514440.0,323664.0
audio_packetsSentPerSecond,0.0,206.58949243098843,190.5311778290993,196.0,207.0,205.0,210.3688933200399,208.6258776328987,224.0,219.0,214.0,210.78921078921078,190.0,192.0,205.0,196.19619619619618,201.7982017982018,201.0,205.0,205.0,211.0,212.0,214.0,213.2132132132132,217.78221778221777,231.23123123123122,209.7902097902098,208.0,204.0,214.21421421421422,203.0,211.78821178821178,218.21821821821823,215.78421578421577,220.0,221.0,226.0,229.77022977022978,231.23123123123122,207.0,212.21221221221222,208.0,209.0,213.78621378621378,206.0,205.0,180.0,148.0
audio_googLocalAddress,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863,35.204.125.129:48863
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,21.0,30.0,30.0,30.0,26.0,26.0,23.0,23.0,23.0,20.0,20.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,19.0,19.0,17.0,17.0
