bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,513803.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0,520784.0
bweforvideo-googBucketDelay,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1620353068,1620353069,1620353070,1620353071,1620353072,1620353073,1620353074,1620353075,1620353076,1620353077,1620353078,1620353079,1620353080,1620353081,1620353082,1620353083,1620353084,1620353085,1620353086,1620353087,1620353088,1620353089,1620353090,1620353091,1620353092,1620353093,1620353094,1620353095,1620353096,1620353097,1620353098,1620353099,1620353100,1620353101,1620353102,1620353103,1620353104,1620353105,1620353106,1620353107,1620353108,1620353109,1620353110,1620353111,1620353112,1620353113,1620353114,1620353115,1620353116,1620353117,1620353118,1620353119,1620353120,1620353121,1620353122,1620353123,1620353124,1620353125,1620353126,1620353127,1620353128,1620353129,1620353130,1620353131,1620353132,1620353133,1620353134,1620353135,1620353136,1620353137,1620353138,1620353139,1620353140,1620353141,1620353142,1620353143,1620353144,1620353145,1620353146,1620353147,1620353148,1620353149,1620353150,1620353151,1620353152,1620353153,1620353154,1620353155,1620353156,1620353157,1620353158,1620353159,1620353160,1620353161,1620353162,1620353163,1620353164,1620353165,1620353166,1620353167,1620353168,1620353169,1620353170,1620353171,1620353172,1620353173,1620353174,1620353175,1620353176,1620353177,1620353178,1620353179
audio_bitsReceivedPerSecond,438448.0,469288.0,494776.0,476608.0,430136.0,410544.0,413568.0,439632.0,466344.0,489008.0,498344.0,527496.0,498584.0,494288.0,482032.0,488200.0,497928.0,490184.0,510832.0,506288.0,486696.0,509576.0,483328.0,494104.0,501024.0,470016.0,434896.0,431816.0,430512.0,412496.0,426648.0,448288.0,439840.0,456240.0,486376.0,485856.0,489216.0,479432.0,502976.0,472776.0,458288.0,467312.0,435160.0,458256.0,483400.0,490136.0,472088.0,463408.0,492408.0,482480.0,517968.0,505376.0,466160.0,493832.0,498192.0,504472.0,495696.0,511528.0,501784.0,509648.0,513824.0,528048.0,512080.0,494944.0,511592.0,508616.0,505232.0,511936.0,514928.0,508136.0,515416.0,495776.0,462960.0,475568.0,423888.0,361632.0,350432.0,348624.0,373312.0,361624.0,387336.0,416368.0,381496.0,392120.0,417800.0,408784.0,401856.0,411104.0,443856.0,453368.0,452296.0,480032.0,496880.0,492376.0,420720.0,385768.0,377832.0,355192.0,381096.0,381944.0,442304.0,413856.0,388144.0,431568.0,430832.0,443000.0,401600.0,354000.0,382744.0,376864.0,362232.0,381176.0
audio_bitsSentPerSecond,300456.0,253984.0,270008.0,293432.0,245752.0,271696.0,263136.0,251384.0,278224.0,254880.0,246616.0,259256.0,254048.0,278880.0,236576.0,269696.0,259560.0,240792.0,279808.0,249984.0,240384.0,265240.0,252640.0,277296.0,239432.0,271296.0,259016.0,244784.0,269504.0,255080.0,244728.0,262240.0,257408.0,272608.0,236768.0,272224.0,257136.0,243448.0,276544.0,246912.0,256368.0,253304.0,256040.0,271808.0,236832.0,283984.0,251616.0,246880.0,274024.0,256720.0,277016.0,252920.0,253440.0,272136.0,242312.0,275952.0,259568.0,251936.0,288968.0,264552.0,255808.0,261232.0,262168.0,281032.0,247752.0,286112.0,260168.0,263704.0,277288.0,259800.0,258328.0,259520.0,267864.0,273944.0,247088.0,275688.0,251856.0,256408.0,279184.0,260048.0,259320.0,254904.0,268488.0,273960.0,252128.0,284968.0,243936.0,258400.0,271912.0,262744.0,257384.0,259256.0,271856.0,272392.0,246488.0,286776.0,257040.0,254640.0,272896.0,264360.0,275272.0,255864.0,264136.0,264200.0,252432.0,284944.0,252552.0,255488.0,274040.0,263240.0,257752.0,258480.0
audio_packetsSentPerSecond,139.0,139.0,136.0,138.0,138.0,137.0,136.0,140.0,133.0,137.0,135.0,135.0,136.0,138.0,136.0,137.0,138.0,134.0,136.0,138.0,135.0,138.0,137.0,138.0,135.0,137.0,139.0,135.0,135.0,136.0,136.0,137.0,139.0,137.0,138.0,136.0,138.0,135.0,138.0,136.0,139.0,135.0,135.0,139.0,136.0,138.0,137.0,136.0,135.0,138.0,139.0,142.0,138.0,135.0,138.0,138.0,138.0,135.0,136.0,139.0,137.0,137.0,136.0,137.0,137.0,139.0,136.0,135.0,138.0,138.0,137.0,137.0,137.0,134.0,138.0,140.0,136.0,138.0,138.0,135.0,138.0,136.0,137.0,136.0,136.0,141.0,137.0,137.0,133.0,136.0,137.0,136.0,138.0,135.0,135.0,137.0,138.0,137.0,138.0,136.0,136.0,140.0,137.0,137.0,135.0,139.0,137.0,135.0,137.0,137.0,136.0,137.0
audio_googLocalAddress,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839,34.67.229.81:32839
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
