bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,300000.0,300000.0,546709.0,69825.0,79825.0,87211.0,95188.0,102543.0,111746.0,121686.0,132421.0,144015.0,156536.0,170059.0,184664.0,200437.0,217472.0,235870.0,255740.0,277199.0,300375.0,325405.0,254472.0,275830.0,186485.0,202404.0,219596.0,238164.0,174689.0,189664.0,205837.0,223304.0,242168.0,262541.0,284544.0,308308.0,333973.0,361691.0,391626.0,423956.0,458872.0,496582.0,537309.0,344187.0,367763.0,398184.0,431039.0,466522.0,504844.0,544012.0,588533.0,636616.0,688545.0,744629.0,805199.0,867040.0,731859.0,773516.0,494123.0,510245.0,544540.0,588318.0,635567.0,686769.0,739195.0,536013.0,577095.0,607203.0,639868.0,674053.0,711993.0,753271.0,814022.0,527634.0,537519.0,579113.0,609958.0,643347.0,679017.0,717652.0,765097.0,826550.0,893075.0,724552.0,759647.0,801944.0,846456.0,704212.0,526897.0,540642.0,584893.0,632684.0,684121.0,736232.0,795425.0,541116.0,583789.0,616910.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541187144,1541187145,1541187146,1541187147,1541187148,1541187149,1541187150,1541187151,1541187152,1541187153,1541187154,1541187155,1541187156,1541187157,1541187158,1541187159,1541187160,1541187161,1541187162,1541187163,1541187164,1541187165,1541187166,1541187167,1541187168,1541187169,1541187170,1541187171,1541187172,1541187173,1541187174,1541187175,1541187176,1541187177,1541187178,1541187179,1541187180,1541187181,1541187182,1541187183,1541187184,1541187185,1541187186,1541187187,1541187188,1541187189,1541187190,1541187191,1541187192,1541187193,1541187194,1541187195,1541187196,1541187197,1541187198,1541187199,1541187200,1541187201,1541187202,1541187203,1541187204,1541187205,1541187206,1541187207,1541187208,1541187209,1541187210,1541187211,1541187212,1541187213,1541187214,1541187215,1541187216,1541187217,1541187218,1541187219,1541187220,1541187221,1541187222,1541187223,1541187224,1541187225,1541187226,1541187227,1541187228,1541187229,1541187230,1541187231,1541187232,1541187233,1541187234,1541187235,1541187236,1541187237,1541187238,1541187239,1541187240,1541187241,1541187242,1541187243
audio_bitsReceivedPerSecond,-1,-1,-1,0.0,237160.0,515560.0,399056.0,381709.7097097097,577544.0,479912.0879120879,507096.0,490312.0,462176.0,473104.0,354632.0,397288.0,386360.0,476196.1961961962,532643.3566433566,461760.0,476904.0,422406.40640640643,418029.97002997005,445844.3113772455,420472.9458917836,429741.7417417417,283320.0,300411.5884115884,309984.0,337464.0,341280.0,369704.0,404848.0,429224.0,460444.44444444444,433598.4015984016,518782.7827827828,510449.55044955044,510608.0,521185.18518518517,568711.2887112887,592200.0,611232.0,712744.0,746288.0,692872.0,864640.0,816480.0,848448.0,737384.0,814798.7987987988,680935.064935065,768200.2002002002,663408.5914085914,623096.0,635464.0,682858.8588588588,698453.5464535465,772308.3083083084,777598.4015984016,867939.9399399399,725386.6133866134,865353.3533533533,562648.0,554757.2427572428,587675.6756756756,648536.0,656856.0,638425.5744255744,599152.0,640480.0,574368.0,604976.0,475179.1791791792,500859.14085914084,538448.0,602208.0,630254.2542542543,681048.0,706368.0,774009.99000999,669800.0,777552.0,608776.0,607815.8158158158,622945.0549450549,677424.0,688648.0,727872.0,748136.0,824960.960960961,690213.7862137862,798672.0,503407.4074074074,511265.46906187624,540296.5931863728,598049.95004995,618736.0,668708.7087087088,461938.06193806196
audio_bitsSentPerSecond,-1,-1,-1,0.0,284608.0,189760.0,137936.0,103407.4074074074,125528.0,120303.6963036963,125432.0,143752.0,152864.0,159672.0,185464.0,190032.0,273368.0,223215.21521521523,255528.47152847153,249664.0,280080.0,289777.77777777775,299204.7952047952,342491.0179640719,335110.2204408818,317997.99799799797,266352.0,261290.7092907093,257960.0,268360.0,289464.0,214112.0,228472.0,249776.0,263599.5995995996,281630.36963036965,279775.7757757758,325986.013986014,337744.0,380724.7247247247,412971.028971029,432504.0,441616.0,488664.0,554872.0,507296.0,414352.0,452120.0,428920.0,481552.0,519751.75175175176,511192.8071928072,568392.3923923924,637026.9730269731,690736.0,742680.0,691931.9319319319,849286.7132867132,863415.4154154154,859028.971028971,786362.3623623623,663416.5834165834,505345.3453453453,545856.0,620363.6363636364,679415.4154154154,600288.0,680160.0,642997.002997003,692600.0,708176.0,707872.0,713216.0,736680.6806806807,834037.962037962,805544.0,607632.0,628044.0440440441,626448.0,672432.0,703720.2797202797,736824.0,762912.0,794096.0,888536.5365365365,892171.8281718282,790912.0,814696.0,842232.0,861432.0,770066.066066066,674053.946053946,593816.0,642410.4104104104,679528.9421157684,733683.366733467,733410.5894105894,741248.0,652732.7327327328,709730.2697302697
audio_packetsSentPerSecond,-1,-1,-1,0.0,66.0,83.0,74.0,71.07107107107107,77.0,78.92107892107892,80.0,86.0,86.0,83.0,94.0,92.0,111.0,118.11811811811812,129.87012987012986,124.0,133.0,135.13513513513513,132.86713286713288,132.73453093812375,132.26452905811624,133.13313313313313,130.0,131.86813186813185,132.0,132.0,134.0,127.0,131.0,132.0,133.13313313313313,130.86913086913086,133.13313313313313,132.86713286713288,132.0,132.13213213213214,134.86513486513488,134.0,133.0,142.0,148.0,147.0,136.0,134.0,133.0,134.0,148.14814814814815,140.85914085914087,153.15315315315314,172.82717282717283,187.0,190.0,180.18018018018017,193.80619380619382,194.19419419419418,192.80719280719282,184.18418418418418,162.83716283716285,139.13913913913913,143.0,170.82917082917083,189.1891891891892,166.0,178.0,175.82417582417582,186.0,188.0,185.0,187.0,184.18418418418418,193.80619380619382,191.0,164.0,170.17017017017017,171.0,178.0,182.8171828171828,189.0,189.0,191.0,192.19219219219218,196.8031968031968,193.0,190.0,194.0,194.0,187.1871871871872,178.82117882117882,159.0,176.17617617617617,182.63473053892216,189.37875751503006,186.8131868131868,185.0,175.17517517517518,181.8181818181818
audio_googLocalAddress,-1,-1,-1,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741,10.164.0.9:53741
audio_googRemoteAddress,-1,-1,-1,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118,10.164.0.8:40118
audio_googRtt,-1,-1,-1,3000.0,93.0,70.0,52.0,52.0,52.0,39.0,39.0,29.0,29.0,29.0,22.0,22.0,16.0,16.0,16.0,12.0,12.0,9.0,9.0,9.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
