bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,246864.0,267613.0,267613.0,267613.0,206459.0,206459.0,206459.0,113310.0,113310.0,123375.0,134245.0,116153.0,126445.0,137561.0,137561.0,131865.0,143414.0,155887.0,169358.0,183907.0,199620.0,216590.0,234917.0,172975.0,172975.0,172975.0,172975.0,160812.0,174677.0,189651.0,106308.0,115813.0,126078.0,126078.0,110810.0,120675.0,131329.0,80541.0,87984.0,96023.0,104705.0,114081.0,124207.0,135144.0,146956.0,159712.0,173489.0,188368.0,139006.0,135940.0,132552.0,128436.0,132132.0,136296.0,140332.0,144420.0,147064.0,147064.0
bweforvideo-googBucketDelay,0.0,0.0,14.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
timestamp,1547995314,1547995315,1547995316,1547995317,1547995318,1547995319,1547995320,1547995321,1547995322,1547995323,1547995324,1547995325,1547995326,1547995327,1547995328,1547995329,1547995330,1547995331,1547995332,1547995333,1547995334,1547995335,1547995336,1547995337,1547995338,1547995339,1547995340,1547995341,1547995342,1547995343,1547995344,1547995345,1547995346,1547995347,1547995348,1547995349,1547995350,1547995351,1547995352,1547995353,1547995354,1547995355,1547995356,1547995357,1547995358,1547995359,1547995360,1547995361,1547995362,1547995363,1547995364,1547995365,1547995366,1547995367,1547995368,1547995369,1547995370,1547995371
audio_bitsReceivedPerSecond,347160.0,338328.0,314608.0,388483.5164835165,387315.3153153153,381856.0,323252.74725274724,306410.41041041043,270608.0,303496.0,330088.0,331304.0,328904.0,357288.0,359992.0,280111.88811188814,322586.5865865866,297608.0,354152.0,360720.0,366296.0,303072.0,322136.0,317080.0,358798.7987987988,355308.6913086913,316176.0,332152.0,343392.0,331520.0,339896.0,288776.0,298312.0,291904.0,364168.0,376192.1921921922,381008.0,370925.07492507494,378152.0,341096.0,362736.0,336872.0,308040.0,302646.64664664667,368319.6803196803,367928.0,283520.0,331699.6996996997,286929.07092907093,337209.2092092092,336327.6723276723,371632.0,349384.0,367960.0,361726.27372627374,330442.44244244247,282920.0,220768.0
audio_bitsSentPerSecond,203144.0,182168.0,224760.0,191208.7912087912,192704.7047047047,207232.0,220755.24475524476,177601.6016016016,172504.0,153864.0,176104.0,138584.0,146368.0,186336.0,186840.0,161414.58541458542,168848.84884884884,178480.0,206392.0,190744.0,147288.0,199032.0,196752.0,211128.0,202370.37037037036,212355.64435564436,207928.0,184104.0,199360.0,238128.0,164752.0,137368.0,137088.0,205640.0,144448.0,129193.19319319319,143384.0,160431.56843156842,150448.0,127624.0,154552.0,156112.0,140720.0,179611.61161161162,172819.18081918082,177448.0,199288.0,217417.41741741743,234525.47452547454,188332.33233233233,200015.98401598402,177840.0,163112.0,193920.0,180035.96403596405,172692.69269269268,184448.0,188968.0
audio_packetsSentPerSecond,161.0,149.0,165.0,148.85114885114885,139.13913913913913,136.0,140.85914085914087,135.13513513513513,115.0,128.0,137.0,133.0,127.0,135.0,133.0,128.87112887112886,126.12612612612612,129.0,133.0,133.0,135.0,134.0,136.0,140.0,133.13313313313313,137.86213786213787,133.0,137.0,131.0,140.0,129.0,85.0,103.0,102.0,100.0,118.11811811811812,131.0,126.87312687312688,121.0,127.0,128.0,124.0,126.0,127.12712712712712,126.87312687312688,131.0,129.0,139.13913913913913,128.87112887112886,128.12812812812814,131.86813186813185,127.0,126.0,129.0,130.86913086913086,131.13113113113113,128.0,128.0
audio_googLocalAddress,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080,35.204.32.26:44080
audio_googRemoteAddress,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000,18.197.254.38:10000
audio_googRtt,2896.0,2896.0,2896.0,2896.0,2896.0,2980.0,2980.0,2980.0,3013.0,3013.0,3013.0,3220.0,3220.0,3220.0,3354.0,3293.0,3293.0,3293.0,3206.0,3206.0,3206.0,3249.0,3249.0,3249.0,3249.0,3217.0,3217.0,3217.0,3192.0,3192.0,3164.0,3164.0,3164.0,3157.0,3157.0,3122.0,3122.0,3122.0,3056.0,3056.0,2890.0,2890.0,2616.0,2616.0,2286.0,2286.0,1962.0,1962.0,1712.0,1712.0,1712.0,1712.0,1758.0,1758.0,1731.0,1731.0,1666.0,1666.0
