kpi_audio_synchronization,4.423293483768257,4.420670461442753,4.424159970336449,4.420229860936,4.422423067,4.423293483768257,4.4195671256965126,4.423510474048
eye_eye_delay_video_send,44.5,42.0,41.0,43.0,61.0,61.0,59.0,56.5,54.0
kpi_video_synchronization,5,5,5,5,5,5,5,5,5
av_delay_send,-34.0,-25.5,-32.5,-25.5,-48.5,-50.5,-40.0,-46.5,-36.0
kpi_av_synchronization,5,5,5,5,5,5,5,5,5
kpi_resolution_stability,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911
max_resolution_percentage,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889
kpi_resolution_stability_norm,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911,3.384695097600911
max_resolution_percentage_norm,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889
kpi_fps_stability,5,5,5,5,5,5,5,5,5
kpi_q_audio,1,4,4,4,5,5,5,5,5
kpi_q_video,2.75,2.45,1.95,1.95,1.5714285714285714,1.8,1.95,1.8,1.5142857142857142
qoe_simple_normal,3.8942548315298064,3.8439633846047503,3.7610177744818274,3.760581095659555,3.697729547126984,3.7359214981964732,3.760507458410723,3.735945608227556
qoe_simple_smooth,4.019254831529806,3.91896338460475,3.752684441148494,3.752247762326222,3.626300975698413,3.70258816486314,3.75217412507739,3.7026122748942227
