bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,527529.0,556973.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0,565923.0
bweforvideo-googBucketDelay,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
timestamp,1620396428,1620396429,1620396430,1620396431,1620396432,1620396433,1620396434,1620396435,1620396436,1620396437,1620396438,1620396439,1620396440,1620396441,1620396442,1620396443,1620396444,1620396445,1620396446,1620396447,1620396448,1620396449,1620396450,1620396451,1620396452,1620396453,1620396454,1620396455,1620396456,1620396457,1620396458,1620396459,1620396460,1620396461,1620396462,1620396463,1620396464,1620396465,1620396466,1620396467,1620396468,1620396469,1620396470,1620396471,1620396472,1620396473,1620396474,1620396475,1620396476,1620396477,1620396478,1620396479,1620396480,1620396481,1620396482,1620396483,1620396484,1620396485,1620396486,1620396487,1620396488,1620396489,1620396490,1620396491,1620396492,1620396493,1620396494,1620396495,1620396496,1620396497,1620396498,1620396499,1620396500,1620396501,1620396502,1620396503,1620396504,1620396505,1620396506,1620396507,1620396508,1620396509,1620396510,1620396511,1620396512,1620396513,1620396514,1620396515,1620396516,1620396517,1620396518,1620396519,1620396520,1620396521,1620396522,1620396523,1620396524,1620396525,1620396526,1620396527,1620396528,1620396529,1620396530,1620396531,1620396532,1620396533,1620396534,1620396535,1620396536,1620396537,1620396538,1620396539,1620396540,1620396541,1620396542,1620396543,1620396544,1620396545,1620396546,1620396547,1620396548,1620396549
audio_bitsReceivedPerSecond,280912.0,316296.0,435000.0,530256.0,535920.0,516016.0,544128.0,472696.0,470360.0,517832.0,483368.0,477264.0,496832.0,501480.0,481624.0,508392.0,467832.0,490440.0,480416.0,476488.0,512392.0,499240.0,476352.0,495768.0,498600.0,479592.0,531880.0,481776.0,486448.0,527736.0,474168.0,480280.0,497856.0,493976.0,499464.0,477280.0,470312.0,516728.0,493600.0,508552.0,485720.0,454928.0,477744.0,453728.0,389088.0,382328.0,376504.0,408312.0,405288.0,447744.0,441360.0,450488.0,408632.0,433272.0,448144.0,456424.0,446496.0,459264.0,454008.0,455888.0,463728.0,477096.0,471056.0,506024.0,490888.0,488504.0,477976.0,512992.0,484216.0,519280.0,505072.0,544760.0,520936.0,553672.0,558960.0,545008.0,546704.0,564272.0,479648.0,516688.0,469640.0,461944.0,541152.0,475240.0,490160.0,469840.0,426520.0,500872.0,481304.0,482672.0,472120.0,464400.0,461648.0,511480.0,494760.0,504096.0,501600.0,489752.0,444456.0,483320.0,488520.0,488288.0,443344.0,470784.0,480768.0,486632.0,462264.0,487560.0,473408.0,461424.0,486048.0,457904.0,468584.0,509888.0,453680.0,494136.0,459848.0,496424.0,467912.0,416680.0,338816.0,336160.0
audio_bitsSentPerSecond,356920.0,385144.0,284664.0,278616.0,291800.0,268536.0,298360.0,257264.0,262896.0,282752.0,263552.0,255776.0,278640.0,267464.0,284088.0,257696.0,282592.0,263736.0,251456.0,280608.0,255768.0,238256.0,267264.0,256272.0,271264.0,256536.0,270920.0,257376.0,249448.0,273872.0,251552.0,246480.0,260600.0,260024.0,281040.0,248736.0,266272.0,261864.0,253728.0,275992.0,257184.0,249072.0,254728.0,261968.0,282856.0,239104.0,277040.0,269288.0,243024.0,285384.0,269072.0,287336.0,254536.0,259120.0,277656.0,250184.0,274648.0,265776.0,256184.0,285632.0,255904.0,252936.0,266832.0,264648.0,284248.0,252520.0,268008.0,256240.0,246968.0,278240.0,250456.0,258944.0,272632.0,269448.0,291528.0,242072.0,280656.0,264000.0,252704.0,287944.0,260896.0,255408.0,267016.0,264696.0,283536.0,235832.0,272752.0,263648.0,243656.0,285680.0,252064.0,254968.0,263096.0,270096.0,281736.0,238976.0,274192.0,264048.0,243336.0,281424.0,256520.0,284624.0,243544.0,259592.0,276744.0,239328.0,283376.0,263304.0,249216.0,277344.0,263664.0,263656.0,266160.0,265472.0,280632.0,247408.0,280952.0,255008.0,259904.0,277368.0,264208.0,259392.0
audio_packetsSentPerSecond,137.0,145.0,137.0,136.0,133.0,136.0,142.0,135.0,138.0,136.0,135.0,136.0,140.0,133.0,138.0,134.0,139.0,141.0,133.0,137.0,137.0,133.0,139.0,137.0,138.0,133.0,141.0,138.0,134.0,134.0,138.0,137.0,137.0,135.0,135.0,139.0,138.0,137.0,137.0,132.0,139.0,133.0,136.0,139.0,137.0,135.0,136.0,141.0,134.0,137.0,136.0,139.0,139.0,137.0,135.0,136.0,138.0,134.0,136.0,136.0,136.0,135.0,139.0,138.0,135.0,136.0,136.0,136.0,137.0,137.0,135.0,137.0,137.0,136.0,140.0,133.0,140.0,133.0,136.0,136.0,139.0,134.0,136.0,137.0,134.0,139.0,135.0,136.0,135.0,139.0,135.0,136.0,135.0,140.0,137.0,135.0,135.0,138.0,135.0,139.0,136.0,141.0,135.0,136.0,135.0,135.0,139.0,139.0,136.0,133.0,138.0,136.0,138.0,135.0,139.0,137.0,136.0,136.0,137.0,136.0,135.0,136.0
audio_googLocalAddress,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498,34.67.229.81:52498
audio_googRemoteAddress,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000,158.101.112.6:10000
audio_googRtt,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0
