bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,300000.0,300000.0,300000.0,78674.0,81674.0,93508.0,101508.0,110629.0,120479.0,131117.0,142606.0,154135.0,167466.0,181863.0,197412.0,214205.0,232341.0,249411.0,270364.0,292993.0,317432.0,267207.0,289584.0,234152.0,224245.0,243185.0,263640.0,285731.0,309589.0,333887.0,361598.0,391526.0,423848.0,329166.0,318611.0,292493.0,315595.0,341843.0,370190.0,400805.0,433869.0,469579.0,506097.0,547585.0,592392.0,640783.0,693046.0,607165.0,466058.0,399795.0,429355.0,461446.0,495516.0,535353.0,578304.0,624798.0,675085.0,729587.0,787820.0,848579.0,917465.0,736986.0,672178.0,691615.0,500676.0,368567.0,391674.0,421999.0,455744.0,490530.0,529925.0,573319.0,620185.0,421093.0,432770.0,467490.0,504995.0,545553.0,589369.0,636852.0,687894.0,743086.0,799811.0,537580.0,467934.0,489217.0,525485.0,566469.0,600132.0,632629.0,667365.0,703579.0,742596.0,782676.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,56.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,51.0,1.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,5.0,4.0,4.0,3.0,2.0,3.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,0.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,15.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,17.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
timestamp,1541186654,1541186655,1541186656,1541186657,1541186658,1541186659,1541186660,1541186661,1541186662,1541186663,1541186664,1541186665,1541186666,1541186667,1541186668,1541186669,1541186670,1541186671,1541186672,1541186673,1541186674,1541186675,1541186676,1541186677,1541186678,1541186679,1541186680,1541186681,1541186682,1541186683,1541186684,1541186685,1541186686,1541186687,1541186688,1541186689,1541186690,1541186691,1541186692,1541186693,1541186694,1541186695,1541186696,1541186697,1541186698,1541186699,1541186700,1541186701,1541186702,1541186703,1541186704,1541186705,1541186706,1541186707,1541186708,1541186709,1541186710,1541186711,1541186712,1541186713,1541186714,1541186715,1541186716,1541186717,1541186718,1541186719,1541186720,1541186721,1541186722,1541186723,1541186724,1541186725,1541186726,1541186727,1541186728,1541186729,1541186730,1541186731,1541186732,1541186733,1541186734,1541186735,1541186736,1541186737,1541186738,1541186739,1541186740,1541186741,1541186742,1541186743,1541186744,1541186745,1541186746,1541186747,1541186748,1541186749
audio_bitsReceivedPerSecond,-1,-1,-1,-1,0.0,476007.722007722,185416.0,273584.0,203984.0,203091.0910910911,216535.46453546453,227136.0,315483.4834834835,262425.57442557445,274352.0,286976.0,305056.0,306784.0,373045.04504504503,349250.74925074924,340200.0,297473.47347347345,294673.32667332666,307328.0,308360.0,314416.0,225552.0,241144.0,268208.0,277216.0,293208.0,296456.0,346952.0,363616.0,391079.0790790791,439744.25574425573,401976.0,349920.0,329000.0,338794.7947947948,350633.3666333666,348888.0,421101.1011011011,426173.8261738262,473576.0,532688.0,546536.0,535568.0,638352.0,715344.0,645933.933933934,498813.1868131868,536560.0,530952.0,574870.8708708709,629106.893106893,647392.0,687407.4074074074,772264.0,833294.7052947053,890632.0,765040.0,627208.0,596848.0,638760.0,608824.0,496632.6326326326,438985.014985015,392960.0,405696.0,437584.0,448896.0,521264.0,532528.0,592632.0,581813.8138138138,450640.0,444547.4525474525,478622.62262262264,497560.0,544288.0,549778.2217782218,642234.2342342342,641984.0,765232.0,652104.0,551912.0879120879,495584.0,554186.1861861862,584263.7362637363,635504.0,617544.0,695407.4074074074,714541.4585414586,822168.0,819291.2912912912
audio_bitsSentPerSecond,-1,-1,-1,-1,0.0,381389.96138996136,103864.0,136728.0,137352.0,137361.36136136137,138437.56243756245,154504.0,158790.79079079078,186829.17082917082,184888.0,199312.0,246944.0,272520.0,266818.81881881884,266149.8501498501,304408.0,306186.1861861862,288751.24875124876,344752.0,355544.0,315336.0,316816.0,266504.0,273104.0,309536.0,316008.0,333664.0,355160.0,383120.0,432224.2242242242,432855.14485514484,452360.0,318000.0,308992.0,354818.81881881884,374745.25474525476,363120.0,399183.1831831832,459548.45154845156,519152.0,500456.0,637632.0,626536.0,635752.0,766008.0,729657.6576576576,523532.4675324675,500184.0,492496.0,510270.2702702703,498493.5064935065,630288.0,604636.6366366367,634072.0,752759.2407592408,792000.0,802728.0,788360.0,852056.0,877872.0,756200.0,700356.3563563564,530725.2747252748,479896.0,479440.0,522088.0,506272.0,460680.0,571856.0,618888.0,622006.006006006,632624.0,488479.5204795205,493781.78178178176,575352.0,586496.0,609950.04995005,621581.5815815816,748848.0,761496.0,776352.0,728279.7202797203,541824.0,489961.96196196193,522325.6743256743,589608.0,631248.0,568320.3203203203,705086.9130869131,748064.0,780916.916916917
audio_packetsSentPerSecond,-1,-1,-1,-1,0.0,111.003861003861,68.0,75.0,77.0,80.08008008008008,81.91808191808192,86.0,83.08308308308308,88.91108891108891,89.0,93.0,98.0,118.0,126.12612612612612,125.87412587412588,133.0,131.13113113113113,131.86813186813185,132.0,133.0,131.0,134.0,131.0,134.0,133.0,132.0,132.0,133.0,132.0,136.13613613613614,135.86413586413587,135.0,132.0,132.0,131.13113113113113,133.86613386613388,132.0,135.13513513513513,137.86213786213787,146.0,142.0,175.0,171.0,169.0,190.0,190.19019019019018,145.85414585414586,149.0,141.0,143.14314314314313,137.86213786213787,168.0,169.16916916916918,170.0,187.8121878121878,194.0,194.0,185.0,194.0,195.0,192.0,181.1811811811812,141.85814185814186,135.0,133.0,147.0,139.0,141.0,154.0,170.0,171.17117117117118,167.0,139.86013986013987,137.13713713713713,154.0,161.0,170.82917082917083,164.16416416416416,189.0,183.0,191.0,178.82117882117882,148.0,134.13413413413414,138.86113886113887,160.0,178.0,156.15615615615616,184.8151848151848,183.0,188.18818818818818
audio_googLocalAddress,-1,-1,-1,-1,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097,10.164.0.9:35097
audio_googRemoteAddress,-1,-1,-1,-1,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034,10.164.0.8:36034
audio_googRtt,-1,-1,-1,-1,3.0,56.0,42.0,42.0,42.0,32.0,32.0,24.0,24.0,24.0,18.0,18.0,13.0,13.0,13.0,10.0,10.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,21.0,21.0,16.0,16.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,9.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0
